geography_code,geography_name,Female,Male
E01010839,Bradford 044F,50.9,49.1
E01010840,Bradford 034D,50.3,49.7
E01010841,Bradford 034E,47.5,52.5
E01010842,Bradford 065A,47.1,52.9
E01010843,Bradford 041D,50.1,49.9
E01010845,Bradford 059B,53.0,47.0
E01010846,Bradford 055E,53.0,47.0
E01010847,Bradford 054A,51.1,48.9
E01010848,Bradford 054B,52.4,47.6
E01010849,Bradford 059C,50.8,49.2
E01010850,Bradford 059D,51.8,48.2
E01010851,Bradford 059E,51.2,48.8
E01010852,Bradford 054C,52.2,47.8
E01010853,Bradford 054D,50.8,49.2
E01010854,Bradford 023A,50.7,49.3
E01010855,Bradford 023B,50.8,49.2
E01010856,Bradford 023C,52.6,47.4
E01010857,Bradford 023D,51.5,48.5
E01010858,Bradford 023E,51.1,48.9
E01010859,Bradford 012E,52.4,47.6
E01010860,Bradford 014B,51.1,48.9
E01010861,Bradford 023F,50.2,49.8
E01010862,Bradford 014C,51.0,49.0
E01010863,Bradford 014D,50.6,49.4
E01010864,Bradford 059F,50.6,49.4
E01010865,Bradford 060D,51.2,48.8
E01010866,Bradford 060E,51.1,48.9
E01010867,Bradford 059G,50.0,50.0
E01010868,Bradford 061A,52.1,47.9
E01010869,Bradford 061B,53.5,46.5
E01010870,Bradford 061C,51.9,48.1
E01010871,Bradford 061D,50.4,49.6
E01010872,Bradford 061E,54.0,46.0
E01010873,Bradford 061F,52.1,47.9
E01010874,Bradford 059H,53.3,46.7
E01033689,Bradford 020E,44.7,55.3
E01033690,Bradford 065C,44.8,55.2
E01033691,Bradford 065B,47.2,52.8
E01033692,Bradford 064D,45.3,54.7
E01033693,Bradford 064A,48.9,51.1
E01033694,Bradford 020F,49.1,50.9
E01033695,Bradford 049H,54.1,45.9
E01033696,Bradford 049I,50.7,49.3
E01033697,Bradford 049J,50.4,49.6
E01033898,Bradford 030E,50.9,49.1
E01033899,Bradford 030F,54.1,45.9
E01033900,Bradford 044G,48.6,51.4
E01033901,Bradford 044H,50.7,49.3
E05001341,Baildon,51.1,48.9
E05001342,Bingley,51.2,48.8
E05001343,Bingley Rural,52.3,47.7
E05001344,Bolton and Undercliffe,51.1,48.9
E05001345,Bowling and Barkerend,50.3,49.7
E05001346,Bradford Moor,50.2,49.8
E05001347,City (Bradford),47.9,52.1
E05001348,Clayton and Fairweather Green,53.3,46.7
E05001349,Craven,51.7,48.3
E05001350,Eccleshill,51.7,48.3
E05001351,Great Horton,51.8,48.2
E05001352,Heaton (Bradford),51.0,49.0
E05001353,Idle and Thackley,51.6,48.4
E05001354,Ilkley,52.6,47.4
E05001355,Keighley Central,49.8,50.2
E05001356,Keighley East,50.7,49.3
E05001357,Keighley West,51.9,48.1
E05001358,Little Horton,50.0,50.0
E05001359,Manningham,49.0,51.0
E05001360,Queensbury (Bradford),51.1,48.9
E05001361,Royds,51.8,48.2
E05001362,Shipley,51.1,48.9
E05001363,Thornton and Allerton,51.4,48.6
E05001364,Toller (Bradford),50.8,49.2
E05001365,Tong,51.4,48.6
E05001366,Wharfedale (Bradford),50.9,49.1
E05001367,Wibsey,51.7,48.3
E05001368,Windhill and Wrose,51.3,48.7
E05001369,Worth Valley,51.1,48.9
E05001370,Wyke,52.2,47.8
