datestamp,centre_name,value
2024-04-03,Bradford - City Centre,11659
2024-04-04,Bradford - City Centre,22253
2024-04-05,Bradford - City Centre,16559
2024-04-06,Bradford - City Centre,16159
2024-04-07,Bradford - City Centre,5497
2024-04-08,Bradford - City Centre,15795
2024-04-09,Bradford - City Centre,32178
2024-04-10,Bradford - City Centre,27258
2024-04-11,Bradford - City Centre,44299
2024-04-12,Bradford - City Centre,27329
2024-04-13,Bradford - City Centre,27537
2024-04-14,Bradford - City Centre,25201
2024-04-15,Bradford - City Centre,22865
2024-04-16,Bradford - City Centre,28966
2024-04-17,Bradford - City Centre,21848
2024-04-18,Bradford - City Centre,35091
2024-04-19,Bradford - City Centre,23453
2024-04-20,Bradford - City Centre,17636
2024-04-21,Bradford - City Centre,17189
2024-04-22,Bradford - City Centre,17057
2024-04-23,Bradford - City Centre,17051
2024-04-24,Bradford - City Centre,11450
2024-04-25,Bradford - City Centre,17613
2024-04-26,Bradford - City Centre,23919
2024-04-27,Bradford - City Centre,29652
2024-04-28,Bradford - City Centre,26159
2024-04-29,Bradford - City Centre,22666
2024-04-30,Bradford - City Centre,22295
2024-05-01,Bradford - City Centre,34477
2024-05-02,Bradford - City Centre,27931
2024-05-03,Bradford - City Centre,16700
2024-05-04,Bradford - City Centre,22528
2024-05-05,Bradford - City Centre,11191
2024-05-06,Bradford - City Centre,5602
2024-05-07,Bradford - City Centre,11268
2024-05-08,Bradford - City Centre,28198
2024-05-09,Bradford - City Centre,38972
2024-05-10,Bradford - City Centre,16920
2024-05-11,Bradford - City Centre,40954
2024-05-12,Bradford - City Centre,11536
2024-05-13,Bradford - City Centre,5590
2024-05-14,Bradford - City Centre,28350
2024-05-15,Bradford - City Centre,38556
2024-05-16,Bradford - City Centre,27921
2024-05-17,Bradford - City Centre,11054
2024-05-18,Bradford - City Centre,21818
2024-05-19,Bradford - City Centre,20757
2024-05-20,Bradford - City Centre,21932
2024-05-21,Bradford - City Centre,17121
2024-05-22,Bradford - City Centre,27581
2024-05-23,Bradford - City Centre,34640
2024-05-24,Bradford - City Centre,28502
2024-05-25,Bradford - City Centre,5986
2024-05-26,Bradford - City Centre,11904
2024-05-27,Bradford - City Centre,11934
2024-05-28,Bradford - City Centre,11757
2024-05-29,Bradford - City Centre,17932
2024-05-30,Bradford - City Centre,28410
2024-05-31,Bradford - City Centre,33670
2024-06-01,Bradford - City Centre,22872
2024-06-02,Bradford - City Centre,17396
2024-06-03,Bradford - City Centre,28043
2024-06-04,Bradford - City Centre,47830
2024-06-05,Bradford - City Centre,16823
2024-06-06,Bradford - City Centre,11095
2024-06-07,Bradford - City Centre,16945
2024-06-08,Bradford - City Centre,29609
2024-06-09,Bradford - City Centre,28478
2024-06-10,Bradford - City Centre,21613
2024-06-11,Bradford - City Centre,16012
2024-06-12,Bradford - City Centre,26579
2024-06-13,Bradford - City Centre,5494
2024-06-14,Bradford - City Centre,43323
2024-06-15,Bradford - City Centre,21457
2024-06-16,Bradford - City Centre,26567
2025-01-03,Bradford - City Centre,15841
2025-02-03,Bradford - City Centre,8322
2025-03-03,Bradford - City Centre,11483
2025-04-03,Bradford - City Centre,16939
2025-05-03,Bradford - City Centre,38598
2025-06-17,Bradford - City Centre,
2025-06-18,Bradford - City Centre,
2025-06-19,Bradford - City Centre,
2025-06-20,Bradford - City Centre,
2025-06-21,Bradford - City Centre,
2025-06-22,Bradford - City Centre,
2025-06-23,Bradford - City Centre,
2025-06-24,Bradford - City Centre,
2025-06-25,Bradford - City Centre,
2025-06-26,Bradford - City Centre,
2025-06-27,Bradford - City Centre,
2025-06-28,Bradford - City Centre,
2025-06-29,Bradford - City Centre,
2025-06-30,Bradford - City Centre,
2025-07-01,Bradford - City Centre,
2025-07-02,Bradford - City Centre,
2025-07-03,Bradford - City Centre,
2025-07-04,Bradford - City Centre,
2025-07-05,Bradford - City Centre,
2025-07-06,Bradford - City Centre,
2025-07-07,Bradford - City Centre,
2025-07-08,Bradford - City Centre,
