start,geography_type,geography_code,count_of_tickets
2025-01-11 18:30:00,oslaua,E08000035,1334
2025-01-11 18:30:00,oslaua,E08000036,85
2025-01-11 18:30:00,oslaua,E08000037,9
2025-01-11 18:30:00,oslaua,E09000008,4
2025-01-11 18:30:00,oslaua,E09000011,2
2025-01-11 18:30:00,oslaua,E09000012,6
2025-01-11 18:30:00,oslaua,E09000019,4
2025-01-11 18:30:00,oslaua,E09000026,6
2025-01-11 18:30:00,oslaua,E09000027,7
2025-01-11 18:30:00,oslaua,E09000031,5
2025-01-11 18:30:00,oslaua,MISSING,1853
2025-01-11 18:30:00,oslaua,N09000007,1
2025-01-11 18:30:00,oslaua,UNMATCHED,29
2025-01-11 18:30:00,oslaua,W06000003,2
2025-01-11 18:30:00,oslaua,W06000005,4
2025-01-11 18:30:00,oslaua,W06000011,1
2025-01-11 18:30:00,oslaua,W06000015,6
2025-01-11 18:30:00,oslaua,W06000016,4
2025-01-11 18:30:00,osward,E05001341,334
2025-01-11 18:30:00,osward,E05001342,358
2025-01-11 18:30:00,osward,E05001343,365
2025-01-11 18:30:00,osward,E05001344,199
2025-01-11 18:30:00,osward,E05001345,212
2025-01-11 18:30:00,osward,E05001346,54
2025-01-11 18:30:00,osward,E05001347,248
2025-01-11 18:30:00,osward,E05001348,218
2025-01-11 18:30:00,osward,E05001349,137
2025-01-11 18:30:00,osward,E05001350,150
2025-01-11 18:30:00,osward,E05001351,85
2025-01-11 18:30:00,osward,E05001352,301
2025-01-11 18:30:00,osward,E05001353,311
2025-01-11 18:30:00,osward,E05001354,195
2025-01-11 18:30:00,osward,E05001355,30
2025-01-11 18:30:00,osward,E05001356,157
2025-01-11 18:30:00,osward,E05001357,66
2025-01-11 18:30:00,osward,E05001358,54
2025-01-11 18:30:00,osward,E05001359,68
2025-01-11 18:30:00,osward,E05001360,233
2025-01-11 18:30:00,osward,E05001361,178
2025-01-11 18:30:00,osward,E05001362,1106
2025-01-11 18:30:00,osward,E05001363,294
2025-01-11 18:30:00,osward,E05001364,120
2025-01-11 18:30:00,osward,E05001365,124
2025-01-11 18:30:00,osward,E05001366,176
2025-01-11 18:30:00,osward,E05001367,178
2025-01-11 18:30:00,osward,E05001368,180
2025-01-11 18:30:00,osward,E05001369,174
2025-01-11 18:30:00,osward,E05001370,129
2025-01-11 18:30:00,osward,OTHER,5377
2025-01-11 18:30:00,postcode_area,BD1,121
2025-01-11 18:30:00,postcode_area,BD10,335
