geography_code,geography_name,Very good health,Good health,Fair health,Bad health,Very bad health
E01010693,Bradford 002B,58.5,30.1,8.4,2.2,0.8
E01010694,Bradford 002C,56.1,30.5,10.1,2.8,0.5
E01010695,Bradford 002D,48.2,30.8,15.7,4.4,0.9
E01010696,Bradford 002E,59.0,30.5,8.3,1.5,0.7
E01010697,Bradford 002F,54.8,29.5,11.2,3.2,1.3
E01010698,Bradford 002G,47.4,33.1,14.9,3.7,0.9
E01010699,Bradford 002H,46.6,33.3,14.5,4.8,0.9
E01010700,Bradford 008A,48.5,33.3,13.8,3.5,0.9
E01010701,Bradford 008B,45.1,35.0,13.0,5.5,1.5
E01010702,Bradford 008C,43.0,36.3,14.4,5.1,1.2
E01010703,Bradford 008D,43.2,36.5,14.4,4.6,1.4
E01010704,Bradford 008E,42.6,37.8,14.1,4.0,1.4
E01010705,Bradford 008F,46.9,36.0,12.2,3.8,1.1
E01010706,Bradford 006A,49.1,34.9,11.8,3.3,0.9
E01010707,Bradford 006B,49.4,34.9,12.1,2.5,1.1
E01010708,Bradford 006C,47.8,36.5,12.3,3.0,0.4
E01010709,Bradford 006D,49.7,36.2,11.2,2.2,0.7
E01010710,Bradford 008G,39.4,33.0,19.1,7.0,1.6
E01010711,Bradford 011A,33.0,34.5,20.3,10.0,2.1
E01010712,Bradford 009A,48.8,34.3,12.6,3.5,0.8
E01010713,Bradford 011B,44.2,33.0,15.3,5.5,2.0
E01010714,Bradford 011C,42.9,35.9,15.7,3.5,2.0
E01010715,Bradford 012A,38.4,38.2,17.0,5.4,1.0
E01010716,Bradford 011D,43.9,31.8,17.0,5.2,2.1
E01010717,Bradford 012B,45.9,34.6,14.5,3.4,1.6
E01010718,Bradford 012C,39.6,35.0,17.6,5.7,2.0
E01010719,Bradford 007A,43.6,37.6,13.2,4.1,1.4
E01010720,Bradford 009B,40.4,33.7,16.7,7.4,1.8
E01010721,Bradford 009C,44.2,34.4,14.7,5.2,1.5
E01010722,Bradford 014A,46.6,35.2,12.9,4.2,1.0
E01010723,Bradford 009D,44.4,37.6,12.5,4.6,0.8
E01010724,Bradford 009E,39.9,35.3,17.0,6.9,1.0
E01010725,Bradford 009F,42.2,36.7,14.9,4.6,1.5
E01010726,Bradford 012D,43.1,36.9,15.4,3.8,0.8
E01010727,Bradford 007B,42.9,36.7,14.2,5.2,1.1
E01010728,Bradford 007C,46.2,31.9,15.0,5.4,1.5
E01010729,Bradford 007D,44.4,34.1,16.3,4.2,0.9
E01010730,Bradford 045C,32.6,36.3,20.0,8.9,2.2
E01010731,Bradford 048A,47.4,31.6,13.1,6.5,1.4
E01010732,Bradford 048B,47.6,34.0,11.5,5.3,1.5
E01010733,Bradford 048C,39.1,34.6,16.3,7.1,2.9
E01010734,Bradford 045D,49.7,30.8,13.5,4.9,1.2
E01010735,Bradford 051A,43.5,34.3,14.2,5.8,2.2
E01010736,Bradford 048D,51.4,33.7,10.0,3.7,1.2
E01010737,Bradford 048E,48.8,30.6,13.2,6.2,1.2
E01010738,Bradford 051B,48.4,32.5,13.0,4.4,1.8
E01010739,Bradford 051C,47.1,34.0,12.2,4.9,1.8
E01010740,Bradford 051D,47.6,32.6,14.1,4.6,1.1
E01010741,Bradford 059A,43.8,36.8,13.7,4.5,1.2
E01010742,Bradford 053C,51.4,31.9,11.3,3.8,1.6
E01010743,Bradford 053D,42.4,33.4,14.3,7.0,2.9
E01010744,Bradford 051E,46.6,36.0,11.7,4.6,1.1
E01010745,Bradford 056A,48.6,32.1,13.3,4.7,1.3
E01010746,Bradford 060A,44.7,36.1,15.2,3.0,1.0
E01010747,Bradford 056B,42.0,36.4,15.8,4.9,0.9
E01010748,Bradford 056C,42.7,32.9,15.7,7.0,1.7
E01010749,Bradford 056D,37.7,36.9,16.3,6.7,2.4
E01010750,Bradford 060B,42.7,37.0,16.0,3.2,1.2
E01010751,Bradford 060C,36.7,34.9,20.0,6.1,2.3
E01010752,Bradford 058A,47.0,33.6,13.7,4.1,1.6
E01010753,Bradford 058B,41.1,38.1,15.0,4.3,1.5
E01010754,Bradford 058C,46.0,36.8,11.4,4.6,1.2
E01010755,Bradford 055B,48.7,31.7,14.1,4.3,1.2
E01010756,Bradford 058D,47.9,34.4,12.5,3.8,1.4
E01010758,Bradford 058E,53.4,36.5,7.8,1.7,0.6
E01010759,Bradford 058F,43.7,35.8,13.1,5.1,2.2
E01010760,Bradford 058G,52.2,34.3,10.2,2.5,0.9
E01010761,Bradford 049G,42.4,35.1,16.0,4.9,1.5
E01010762,Bradford 055C,46.1,34.1,14.4,4.1,1.3
E01010763,Bradford 055D,43.2,35.0,16.5,3.6,1.8
E01010764,Bradford 010C,53.2,33.7,10.5,2.0,0.6
E01010765,Bradford 010D,47.3,33.8,13.3,4.6,1.0
E01010766,Bradford 010E,49.6,38.1,9.4,2.1,0.8
E01010767,Bradford 003A,49.7,33.5,12.7,3.5,0.6
E01010768,Bradford 003B,58.2,31.3,8.7,1.4,0.4
E01010769,Bradford 003C,51.1,31.6,12.2,3.9,1.2
E01010770,Bradford 005A,60.9,31.2,6.2,1.4,0.3
E01010771,Bradford 003D,53.1,33.0,11.0,2.1,0.9
E01010772,Bradford 005B,55.8,31.7,10.3,1.5,0.7
E01010773,Bradford 005C,54.2,32.4,10.0,2.8,0.6
E01010774,Bradford 005D,51.6,33.6,11.3,2.7,0.7
E01010775,Bradford 024D,45.6,38.9,11.8,2.9,0.7
E01010776,Bradford 021A,43.2,37.0,13.7,5.0,1.1
E01010777,Bradford 021B,36.4,37.4,16.9,7.0,2.2
E01010778,Bradford 024E,47.8,31.3,15.1,4.6,1.2
E01010779,Bradford 021C,41.6,35.0,15.8,6.0,1.7
E01010781,Bradford 021D,45.5,34.2,14.6,3.5,2.2
E01010782,Bradford 020B,45.3,32.6,14.5,5.3,2.3
E01010783,Bradford 021E,45.9,35.3,13.4,4.1,1.3
E01010784,Bradford 018C,44.8,35.7,13.7,4.2,1.7
E01010785,Bradford 018D,47.2,34.9,13.4,4.1,0.4
E01010786,Bradford 018E,53.2,28.5,13.4,3.3,1.6
E01010787,Bradford 020C,44.9,34.6,15.9,3.6,1.0
E01010788,Bradford 020D,48.9,32.9,14.1,3.4,0.7
E01010789,Bradford 025A,43.5,36.1,13.6,5.6,1.1
E01010790,Bradford 018F,52.3,35.4,9.3,2.3,0.7
E01010791,Bradford 025B,44.0,36.6,13.8,4.0,1.5
E01010792,Bradford 025C,44.9,34.3,14.3,5.2,1.3
E01010793,Bradford 025D,46.9,35.3,12.7,3.8,1.2
E01010794,Bradford 043A,42.6,34.7,15.7,5.7,1.3
E01010795,Bradford 043B,47.0,36.2,12.3,3.3,1.2
E01010796,Bradford 043C,40.6,33.8,18.3,5.6,1.8
E01010797,Bradford 043D,49.9,36.2,11.0,2.9,0.1
E01010798,Bradford 043E,42.5,33.6,17.5,5.3,1.0
E01010799,Bradford 036C,41.1,36.8,15.2,4.7,2.2
E01010800,Bradford 036D,42.1,33.1,15.8,6.9,2.2
E01010801,Bradford 036E,44.1,38.6,11.7,4.1,1.5
E01010802,Bradford 036F,49.2,30.8,12.7,5.4,1.8
E01010803,Bradford 037A,48.4,34.0,11.3,4.5,1.7
E01010804,Bradford 033A,45.2,36.6,12.1,4.4,1.8
E01010805,Bradford 030D,45.3,34.8,13.7,4.8,1.3
E01010806,Bradford 033B,44.8,35.8,13.0,4.6,1.8
E01010807,Bradford 033C,42.7,34.9,13.3,6.2,2.9
E01010808,Bradford 033D,46.7,34.3,13.1,4.8,1.2
E01010809,Bradford 033E,41.5,37.1,14.0,5.6,1.9
E01010810,Bradford 037B,47.9,34.3,12.0,4.8,1.1
E01010811,Bradford 037C,45.3,35.5,13.0,4.6,1.6
E01010812,Bradford 041B,48.2,32.9,12.3,5.5,1.2
E01010813,Bradford 037D,43.9,34.6,13.4,6.5,1.6
E01010814,Bradford 057A,40.0,34.3,15.8,8.2,1.6
E01010815,Bradford 057B,48.8,34.3,12.0,3.6,1.4
E01010816,Bradford 057C,49.9,34.4,11.4,3.4,0.9
E01010817,Bradford 057D,46.5,32.9,13.0,5.7,1.8
E01010818,Bradford 057E,48.4,35.0,12.2,3.4,1.0
E01010819,Bradford 052B,37.2,34.2,16.5,9.9,2.1
E01010820,Bradford 052C,38.1,30.7,19.7,8.3,3.2
E01010821,Bradford 052D,49.2,30.4,13.2,5.8,1.5
E01010822,Bradford 052E,35.8,36.8,17.7,7.6,2.0
E01010824,Bradford 034C,45.5,33.6,13.7,5.5,1.8
E01010825,Bradford 032C,46.1,38.5,11.4,3.3,0.6
E01010826,Bradford 027D,49.2,33.2,11.5,5.1,1.0
E01010827,Bradford 032D,42.5,38.9,13.1,4.6,0.9
E01010828,Bradford 035A,42.8,35.1,14.7,5.7,1.8
E01010829,Bradford 035B,43.4,35.2,13.9,6.0,1.5
E01010830,Bradford 035C,45.3,35.6,13.1,4.6,1.4
E01010831,Bradford 035D,49.3,31.5,13.0,4.7,1.5
E01010832,Bradford 035E,47.9,32.7,14.5,3.3,1.6
E01010833,Bradford 041C,44.3,33.8,13.5,6.4,2.0
E01010834,Bradford 044A,51.2,33.2,10.0,4.3,1.3
E01010836,Bradford 044C,53.3,31.1,10.0,4.4,1.1
E01010837,Bradford 044D,47.5,33.6,12.8,4.9,1.1
E01010838,Bradford 044E,48.0,35.6,10.2,4.4,1.8
E01010839,Bradford 044F,48.3,31.0,11.9,7.5,1.3
E01010840,Bradford 034D,39.5,34.7,15.8,6.8,3.2
E01010841,Bradford 034E,40.5,37.7,14.8,5.0,1.9
E01010842,Bradford 065A,41.2,36.3,15.1,5.6,1.7
E01010843,Bradford 041D,42.6,35.5,13.7,6.5,1.8
E01010845,Bradford 059B,44.4,33.5,13.1,7.4,1.6
E01010846,Bradford 055E,44.3,35.2,14.3,5.1,1.1
E01010847,Bradford 054A,45.6,34.4,14.5,4.0,1.6
E01010848,Bradford 054B,45.2,33.1,15.6,5.0,1.1
E01010849,Bradford 059C,44.7,36.8,13.4,4.1,0.9
E01010850,Bradford 059D,43.6,32.5,16.7,6.0,1.2
E01010851,Bradford 059E,44.1,36.4,15.0,3.8,0.6
E01010852,Bradford 054C,45.1,35.3,13.1,5.6,1.0
E01010853,Bradford 054D,49.7,32.4,12.7,4.2,1.0
E01010854,Bradford 023A,46.3,34.5,12.9,4.7,1.6
E01010855,Bradford 023B,48.5,33.6,12.8,3.4,1.6
E01010856,Bradford 023C,46.0,33.6,13.9,4.8,1.6
E01010857,Bradford 023D,48.5,35.3,12.7,2.7,0.9
E01010858,Bradford 023E,53.3,34.9,9.1,2.2,0.4
E01010859,Bradford 012E,49.4,33.5,13.0,3.2,0.9
E01010860,Bradford 014B,51.7,33.5,11.6,2.3,0.9
E01010861,Bradford 023F,46.0,36.5,13.5,3.4,0.6
E01010862,Bradford 014C,49.8,35.4,11.2,3.0,0.7
E01010863,Bradford 014D,51.2,34.3,10.6,2.8,1.1
E01010864,Bradford 059F,45.2,31.8,15.0,6.8,1.2
E01010865,Bradford 060D,43.4,36.0,14.7,4.4,1.5
E01010866,Bradford 060E,44.7,35.3,15.1,4.3,0.5
E01010867,Bradford 059G,47.9,34.2,13.4,3.5,0.9
E01010868,Bradford 061A,47.7,28.0,16.5,5.8,2.0
E01010869,Bradford 061B,42.4,35.2,16.0,5.3,1.1
E01010870,Bradford 061C,44.6,35.1,14.7,4.4,1.1
E01010871,Bradford 061D,43.8,36.5,13.8,4.7,1.2
E01010872,Bradford 061E,45.0,32.2,15.3,5.6,1.9
E01010873,Bradford 061F,45.3,34.9,14.5,3.2,2.1
E01010874,Bradford 059H,44.8,29.1,16.0,7.6,2.5
E01033689,Bradford 020E,41.8,35.1,13.4,7.3,2.5
E01033690,Bradford 065C,50.4,37.2,9.3,2.2,0.9
E01033691,Bradford 065B,45.6,35.7,11.4,5.6,1.7
E01033692,Bradford 064D,42.5,38.3,13.3,3.3,2.6
E01033693,Bradford 064A,44.6,36.5,12.5,4.1,2.3
E01033694,Bradford 020F,44.1,38.1,13.3,3.6,0.9
E01033695,Bradford 049H,53.6,32.0,10.6,2.9,1.0
E01033696,Bradford 049I,44.7,36.6,13.3,4.5,0.8
E01033697,Bradford 049J,43.7,36.2,13.5,4.8,1.8
E01033898,Bradford 030E,53.7,29.8,11.5,3.9,1.1
E01033899,Bradford 030F,48.5,33.6,11.9,4.8,1.0
E01033900,Bradford 044G,47.1,36.8,9.7,4.7,1.6
E01033901,Bradford 044H,45.0,35.2,13.1,5.3,1.4
E05001341,Baildon,48.2,35.1,12.1,3.5,1.0
E05001342,Bingley,48.9,33.3,12.7,4.1,1.0
E05001343,Bingley Rural,47.8,34.9,12.6,3.7,1.0
E05001344,Bolton and Undercliffe,43.8,36.4,14.0,4.5,1.3
E05001345,Bowling and Barkerend,45.6,33.0,14.0,5.4,1.9
E05001346,Bradford Moor,45.5,34.4,13.1,5.3,1.7
E05001347,City (Bradford),47.5,34.3,11.6,5.2,1.5
E05001348,Clayton and Fairweather Green,44.6,34.9,14.2,4.9,1.4
E05001349,Craven,47.3,35.2,13.1,3.3,1.1
E05001350,Eccleshill,44.2,35.8,13.8,4.8,1.4
E05001351,Great Horton,44.6,34.8,13.9,5.1,1.6
E05001352,Heaton (Bradford),47.0,34.8,12.9,4.0,1.3
E05001353,Idle and Thackley,48.3,34.6,12.2,3.7,1.1
E05001354,Ilkley,52.8,31.1,11.9,3.3,0.9
E05001355,Keighley Central,43.3,35.0,15.1,5.3,1.3
E05001356,Keighley East,46.5,35.4,13.2,3.7,1.2
E05001357,Keighley West,43.7,35.0,15.2,4.8,1.4
E05001358,Little Horton,47.2,33.4,12.7,5.1,1.7
E05001359,Manningham,42.7,35.6,14.2,5.6,2.0
E05001360,Queensbury (Bradford),47.6,35.2,12.3,3.7,1.3
E05001361,Royds,44.5,33.6,15.1,5.4,1.4
E05001362,Shipley,46.7,34.4,13.3,4.3,1.3
E05001363,Thornton and Allerton,44.8,34.8,14.1,4.9,1.5
E05001364,Toller (Bradford),45.2,35.3,12.7,5.1,1.7
E05001365,Tong,44.6,33.5,14.3,5.9,1.7
E05001366,Wharfedale (Bradford),54.5,32.3,10.2,2.4,0.7
E05001367,Wibsey,44.5,34.5,14.7,5.0,1.3
E05001368,Windhill and Wrose,44.2,35.4,14.3,4.5,1.5
E05001369,Worth Valley,49.0,34.6,12.1,3.2,1.0
E05001370,Wyke,44.4,34.6,15.2,4.5,1.4
E08000032,Bradford,46.1,34.5,13.4,4.6,1.4
E08000033,Calderdale,46.6,34.2,13.5,4.4,1.3
E08000034,Kirklees,46.6,34.5,13.4,4.3,1.2
E08000035,Leeds,49.5,33.3,12.2,3.9,1.1
E08000036,Wakefield,44.7,34.3,14.5,5.1,1.5
E12000003,Yorkshire and The Humber,46.2,34.3,13.7,4.5,1.3
E92000001,England,48.5,33.7,12.7,4.0,1.2
