aggregation,project_name,variable,value
BY_PROJECT,Claytime,participant_instances,0
BY_PROJECT,Claytime,participants,0
BY_PROJECT,Cliffe Castle Park 75th Birthday Bash,participant_instances,0
BY_PROJECT,Cliffe Castle Park 75th Birthday Bash,participants,0
BY_PROJECT,Closing Event (Brighter Still) - Emily Lim/Dan Canham,participant_instances,84
BY_PROJECT,Closing Event (Brighter Still) - Emily Lim/Dan Canham,participants,84
BY_PROJECT,Club Ekta (multiple events),participant_instances,45
BY_PROJECT,Club Ekta (multiple events),participants,45
BY_PROJECT,Cocoa Butter Club,participant_instances,0
BY_PROJECT,Cocoa Butter Club,participants,0
BY_PROJECT,Come Rest in Chaos,participant_instances,0
BY_PROJECT,Come Rest in Chaos,participants,0
BY_PROJECT,Comma Press 'Book of the City',participant_instances,0
BY_PROJECT,Comma Press 'Book of the City',participants,0
BY_PROJECT,Common/Wealth: Public Interest,participant_instances,0
BY_PROJECT,Common/Wealth: Public Interest,participants,0
BY_PROJECT,Community Award,participant_instances,2262
BY_PROJECT,Community Award,participants,2262
BY_PROJECT,Community Takeover Days at Bradford City Football Club,participant_instances,0
BY_PROJECT,Community Takeover Days at Bradford City Football Club,participants,0
BY_PROJECT,Compagnie Off: Giraffes,participant_instances,57
BY_PROJECT,Compagnie Off: Giraffes,participants,24
BY_PROJECT,Connecting Communities,participant_instances,392
BY_PROJECT,Connecting Communities,participants,392
BY_PROJECT,Creative Careers Festival,participant_instances,22
BY_PROJECT,Creative Careers Festival,participants,22
BY_PROJECT,Creative Cities Convention,participant_instances,0
BY_PROJECT,Creative Cities Convention,participants,0
BY_PROJECT,Creative Summer Social (Cultural Voice Forum),participant_instances,441
BY_PROJECT,Creative Summer Social (Cultural Voice Forum),participants,441
BY_PROJECT,Cricket Tournament Awards Ceremony,participant_instances,60
BY_PROJECT,Cricket Tournament Awards Ceremony,participants,60
BY_PROJECT,Cultural Learning One-Off Activity,participant_instances,0
BY_PROJECT,Cultural Learning One-Off Activity,participants,0
BY_PROJECT,Cultural Learning Steering Group,participant_instances,64
BY_PROJECT,Cultural Learning Steering Group,participants,14
BY_PROJECT,Curious Investigators,participant_instances,0
BY_PROJECT,Curious Investigators,participants,0
BY_PROJECT,DRAW,participants,718
BY_PROJECT,DRAW! (How to Films & non-Our Patch Events),participant_instances,37
BY_PROJECT,DRAW! (How to Films & non-Our Patch Events),participants,37
BY_PROJECT,Dancing with Colours,participant_instances,0
BY_PROJECT,Dancing with Colours,participants,0
BY_PROJECT,Digital Map,participant_instances,0
BY_PROJECT,Digital Map,participants,0
BY_PROJECT,Dracula,participant_instances,0
BY_PROJECT,Dracula,participants,0
BY_PROJECT,Drag-ford: Drag Cabaret Built in Bradford,participant_instances,18
BY_PROJECT,Drag-ford: Drag Cabaret Built in Bradford,participants,18
BY_PROJECT,Dragons - Eun-Me Ahn Company,participant_instances,0
BY_PROJECT,Dragons - Eun-Me Ahn Company,participants,0
BY_PROJECT,Drum Roll Please,participant_instances,104
BY_PROJECT,Drum Roll Please,participants,67
BY_PROJECT,Earth & Sky (part of Wild Uplands),participant_instances,3149
BY_PROJECT,Earth & Sky (part of Wild Uplands),participants,1079
BY_PROJECT,Easter Fun and Celebration,participant_instances,421
BY_PROJECT,Easter Fun and Celebration,participants,421
BY_PROJECT,Eggs Collective Dark Nights,participant_instances,0
BY_PROJECT,Eggs Collective Dark Nights,participants,0
BY_PROJECT,Elevate - Heritage Skills Project,participant_instances,77
BY_PROJECT,Elevate - Heritage Skills Project,participants,28
BY_PROJECT,Eliza Carthy,participant_instances,0
BY_PROJECT,Eliza Carthy,participants,0
BY_PROJECT,Elmet,participant_instances,88
BY_PROJECT,Elmet,participants,87
BY_PROJECT,Endless Hum,participant_instances,0
BY_PROJECT,Endless Hum,participants,0
BY_PROJECT,FRESH 2025 - Workshops and Matinee Stage Performance,participant_instances,367
BY_PROJECT,FRESH 2025 - Workshops and Matinee Stage Performance,participants,115
BY_PROJECT,Fair Play Symposium,participant_instances,0
BY_PROJECT,Fair Play Symposium,participants,0
BY_PROJECT,Festival of Archaeology: Archaeology Talks!,participant_instances,0
BY_PROJECT,Festival of Archaeology: Archaeology Talks!,participants,0
BY_PROJECT,Fighting To Be Heard,participant_instances,0
BY_PROJECT,Fighting To Be Heard,participants,0
BY_PROJECT,Film Culture in Bradford and Keighley: Friends of Bradford Art Galleries and Museums,participant_instances,0
BY_PROJECT,Film Culture in Bradford and Keighley: Friends of Bradford Art Galleries and Museums,participants,0
BY_PROJECT,Forge - Development Lab,participant_instances,0
BY_PROJECT,Forge - Development Lab,participants,0
BY_PROJECT,Four Nations Outdoor Arts Bursary 2025,participant_instances,0
BY_PROJECT,Four Nations Outdoor Arts Bursary 2025,participants,0
BY_PROJECT,Frontline 1984-1985 by Victor Wedderburn,participant_instances,1828
BY_PROJECT,Frontline 1984-1985 by Victor Wedderburn,participants,1828
BY_PROJECT,Gaana Shaana - Open Mic,participant_instances,0
BY_PROJECT,Gaana Shaana - Open Mic,participants,0
BY_PROJECT,Ginger Johnson's Fun House,participant_instances,0
BY_PROJECT,Ginger Johnson's Fun House,participants,0
BY_PROJECT,Great Crafty Get-Together,participant_instances,86
BY_PROJECT,Great Crafty Get-Together,participants,86
BY_PROJECT,Greed,participant_instances,10
BY_PROJECT,Greed,participants,10
BY_PROJECT,Green Family Creative Day,participant_instances,100
BY_PROJECT,Green Family Creative Day,participants,100
BY_PROJECT,Happy Hype,participant_instances,0
BY_PROJECT,Happy Hype,participants,0
BY_PROJECT,Hardy and Free,participant_instances,0
BY_PROJECT,Hardy and Free,participants,0
BY_PROJECT,Health and Wellbeing Day,participant_instances,190
BY_PROJECT,Health and Wellbeing Day,participants,190
BY_PROJECT,Here We Stand,participant_instances,441
BY_PROJECT,Here We Stand,participants,429
BY_PROJECT,Highfield South Asian Celebration,participant_instances,2549
BY_PROJECT,Highfield South Asian Celebration,participants,2549
BY_PROJECT,Hindu Sangh Culture Event,participant_instances,0
BY_PROJECT,Hindu Sangh Culture Event,participants,0
BY_PROJECT,"Holding Space Conference: Arts, Refugees and Mental Health National Gathering",participant_instances,0
BY_PROJECT,"Holding Space Conference: Arts, Refugees and Mental Health National Gathering",participants,0
BY_PROJECT,Honk! Bradford by Peace Artistes,participant_instances,0
BY_PROJECT,Honk! Bradford by Peace Artistes,participants,0
BY_PROJECT,Hot Caribbean Beatz in the Park,participant_instances,0
BY_PROJECT,Hot Caribbean Beatz in the Park,participants,0
BY_PROJECT,I AM ME,participant_instances,0
BY_PROJECT,I AM ME,participants,0
BY_PROJECT,Ice Age Art Now,participant_instances,2715
BY_PROJECT,Ice Age Art Now,participants,1956
BY_PROJECT,If All the World Were - Bradford Library Tour,participant_instances,0
BY_PROJECT,If All the World Were - Bradford Library Tour,participants,0
BY_PROJECT,Imaginary Friends,participant_instances,0
BY_PROJECT,Imaginary Friends,participants,0
BY_PROJECT,Immersive Arts UK Conference - The Big Thing,participant_instances,0
BY_PROJECT,Immersive Arts UK Conference - The Big Thing,participants,0
BY_PROJECT,International Roma Day Celebration,participant_instances,0
BY_PROJECT,International Roma Day Celebration,participants,0
BY_PROJECT,Intro to Comedy Workshop Series with Alex Dunlop,participant_instances,0
BY_PROJECT,Intro to Comedy Workshop Series with Alex Dunlop,participants,0
BY_PROJECT,It's Your Round,participant_instances,0
BY_PROJECT,It's Your Round,participants,0
BY_PROJECT,Jameel Prize: Moving Images,participant_instances,0
BY_PROJECT,Jameel Prize: Moving Images,participants,0
BY_PROJECT,Journeys with Mai (exhibition),participant_instances,0
BY_PROJECT,Journeys with Mai (exhibition),participants,0
BY_PROJECT,Journeys with Mai: Exhibition and Youth Engagement Programme,participant_instances,895
BY_PROJECT,Journeys with Mai: Exhibition and Youth Engagement Programme,participants,403
BY_PROJECT,Jungle Book ReImagined - Akram Khan Company,participant_instances,0
BY_PROJECT,Jungle Book ReImagined - Akram Khan Company,participants,0
BY_PROJECT,Kailey,participant_instances,38
BY_PROJECT,Kailey,participants,38
BY_PROJECT,Kennet Canal Boat Play by Northern Duck Productions,participant_instances,0
BY_PROJECT,Kennet Canal Boat Play by Northern Duck Productions,participants,0
BY_PROJECT,Khooghi,participant_instances,0
BY_PROJECT,Khooghi,participants,0
BY_PROJECT,Lady Maisery / O'Hooley & Tidow,participant_instances,0
BY_PROJECT,Lady Maisery / O'Hooley & Tidow,participants,0
BY_PROJECT,Language No Broblem: Shubbak Festival,participant_instances,0
BY_PROJECT,Language No Broblem: Shubbak Festival,participants,0
BY_PROJECT,Last Rites,participant_instances,0
BY_PROJECT,Last Rites,participants,0
BY_PROJECT,Launchpad Music Industry Careers Day,participant_instances,72
BY_PROJECT,Launchpad Music Industry Careers Day,participants,72
BY_PROJECT,Lay Down Your Burdens,participant_instances,3
BY_PROJECT,Lay Down Your Burdens,participants,3
BY_PROJECT,Learning resource downloads,participants,317
BY_PROJECT,Leeds Piano Competition 2024,participant_instances,0
BY_PROJECT,Leeds Piano Competition 2024,participants,0
BY_PROJECT,Leeds School of Architecture x Bradford 2025 - The City As a Festival,participant_instances,0
BY_PROJECT,Leeds School of Architecture x Bradford 2025 - The City As a Festival,participants,0
BY_PROJECT,Les Enfants Terribles - A Gameshow for Awful Children,participant_instances,0
BY_PROJECT,Les Enfants Terribles - A Gameshow for Awful Children,participants,0
BY_PROJECT,Let's Make,participant_instances,1509
BY_PROJECT,Let's Make,participants,1509
BY_PROJECT,Life Class (509 Arts),participant_instances,35
BY_PROJECT,Life Class (509 Arts),participants,35
BY_PROJECT,Little Explorers [Festival of Archaeology],participant_instances,220
BY_PROJECT,Little Explorers [Festival of Archaeology],participants,220
BY_PROJECT,Little Foodies,participant_instances,948
BY_PROJECT,Little Foodies,participants,948
BY_PROJECT,Little Wimmin,participant_instances,0
BY_PROJECT,Little Wimmin,participants,0
BY_PROJECT,Loaded Laughs (#1),participant_instances,0
BY_PROJECT,Loaded Laughs (#1),participants,0
BY_PROJECT,Loaded Laughs (#2),participant_instances,0
BY_PROJECT,Loaded Laughs (#2),participants,0
BY_PROJECT,Loaded Laughs (#3),participant_instances,0
BY_PROJECT,Loaded Laughs (#3),participants,0
BY_PROJECT,Loaded Laughs (#4),participant_instances,0
BY_PROJECT,Loaded Laughs (#4),participants,0
BY_PROJECT,Loading Bay Programme,participant_instances,0
BY_PROJECT,Loading Bay Programme,participants,0
BY_PROJECT,Loud and Proud Dohl Drumming,participant_instances,534
BY_PROJECT,Loud and Proud Dohl Drumming,participants,534
BY_PROJECT,Meet Our Mothers,participant_instances,432
BY_PROJECT,Meet Our Mothers,participants,179
BY_PROJECT,Mega Drawing Box in the Park,participant_instances,441
BY_PROJECT,Mega Drawing Box in the Park,participants,441
BY_PROJECT,Mental Health Engagement Project,participant_instances,760
BY_PROJECT,Mental Health Engagement Project,participants,336
BY_PROJECT,Mind- Mental Health Awareness Training,participant_instances,30
BY_PROJECT,Mind- Mental Health Awareness Training,participants,30
BY_PROJECT,Multicultural Pentecost Party,participant_instances,0
BY_PROJECT,Multicultural Pentecost Party,participants,0
BY_PROJECT,Museums for Play and Growth,participant_instances,66
BY_PROJECT,Museums for Play and Growth,participants,66
BY_PROJECT,My Thousand Year Old Land,participant_instances,0
BY_PROJECT,My Thousand Year Old Land,participants,0
BY_PROJECT,National Saturday Club,participant_instances,120
BY_PROJECT,National Saturday Club,participants,15
BY_PROJECT,Nationhood: Memory and Hope,participant_instances,0
BY_PROJECT,Nationhood: Memory and Hope,participants,0
BY_PROJECT,New Focus: Bradford Young Curators,participant_instances,0
BY_PROJECT,New Focus: Bradford Young Curators,participants,0
BY_PROJECT,New Music Biennial,participant_instances,35
BY_PROJECT,New Music Biennial,participants,35
BY_PROJECT,Nisbet Road Tailor's Shop,participant_instances,0
BY_PROJECT,Nisbet Road Tailor's Shop,participants,0
BY_PROJECT,OFMS: Asian Dub Foundation La Haine – Live @ St. Georges Hall,participant_instances,0
BY_PROJECT,OFMS: Asian Dub Foundation La Haine – Live @ St. Georges Hall,participants,0
BY_PROJECT,OFMS: BBC Proms / Angelique Kidjo,participant_instances,0
BY_PROJECT,OFMS: BBC Proms / Angelique Kidjo,participants,0
BY_PROJECT,OFMS: John Grant @ St Georges Hall,participant_instances,636
BY_PROJECT,OFMS: John Grant @ St Georges Hall,participants,636
BY_PROJECT,OFMS: Nadine Shah @ St. Georges Hall,participant_instances,0
BY_PROJECT,OFMS: Nadine Shah @ St. Georges Hall,participants,0
BY_PROJECT,On Yer Bike,participant_instances,364
BY_PROJECT,On Yer Bike,participants,364
BY_PROJECT,Otherhood by Old Bird (Deborah Pakkar-Hull and Emma Adams),participant_instances,62
BY_PROJECT,Otherhood by Old Bird (Deborah Pakkar-Hull and Emma Adams),participants,62
BY_PROJECT,Our Patch,participant_instances,55018
BY_PROJECT,Our Patch,participants,28665
BY_PROJECT,Our Story,participant_instances,0
BY_PROJECT,Our Story,participants,0
BY_PROJECT,Our Turn: Visual Arts Festival,participant_instances,125
BY_PROJECT,Our Turn: Visual Arts Festival,participants,125
BY_PROJECT,PLAY Facilitators @ Beacon (all),participant_instances,2039
BY_PROJECT,PLAY Facilitators @ Beacon (all),participants,2039
BY_PROJECT,PLAY: Drama Adventures with Alive & Kicking,participant_instances,3043
BY_PROJECT,PLAY: Drama Adventures with Alive & Kicking,participants,1592
BY_PROJECT,PLAY: Escape Room Design Challenge,participant_instances,393
BY_PROJECT,PLAY: Escape Room Design Challenge,participants,41
BY_PROJECT,PLAY: Grue,participant_instances,796
BY_PROJECT,PLAY: Grue,participants,796
BY_PROJECT,PLAY: Intergenerational Play,participant_instances,2879
BY_PROJECT,PLAY: Intergenerational Play,participants,582
BY_PROJECT,PLAY: Island of Foam (WOW),participant_instances,0
BY_PROJECT,PLAY: Island of Foam (WOW),participants,0
BY_PROJECT,PLAY: Playable Commission,participant_instances,9
BY_PROJECT,PLAY: Playable Commission,participants,9
BY_PROJECT,PLAY: REPLAY,participant_instances,812
BY_PROJECT,PLAY: REPLAY,participants,812
BY_PROJECT,PLAY: Red Ball Project (WOW),participant_instances,0
BY_PROJECT,PLAY: Red Ball Project (WOW),participants,0
BY_PROJECT,PLAY: Science Explorers Play Lab,participant_instances,624
BY_PROJECT,PLAY: Science Explorers Play Lab,participants,484
BY_PROJECT,PLAY: The Great Adventure Build with Woodland Tribe,participant_instances,1935
BY_PROJECT,PLAY: The Great Adventure Build with Woodland Tribe,participants,1935
BY_PROJECT,Painting the Sky,participant_instances,0
BY_PROJECT,Painting the Sky,participants,0
BY_PROJECT,Palettes,participant_instances,0
BY_PROJECT,Palettes,participants,0
BY_PROJECT,Palingenesis,participant_instances,0
BY_PROJECT,Palingenesis,participants,0
BY_PROJECT,Peace Picnics (all parks),participant_instances,146
BY_PROJECT,Peace Picnics (all parks),participants,146
BY_PROJECT,Penguin,participant_instances,0
BY_PROJECT,Penguin,participants,0
BY_PROJECT,Penguin Books 16+ Panel,participant_instances,0
BY_PROJECT,Penguin Books 16+ Panel,participants,0
BY_PROJECT,Penguin Books Partnership,participant_instances,86
BY_PROJECT,Penguin Books Partnership,participants,86
BY_PROJECT,People First Keighley and Craven Summer Party,participant_instances,0
BY_PROJECT,People First Keighley and Craven Summer Party,participants,0
BY_PROJECT,Pictureville Screenings - 'Brought to Life' Season,participant_instances,0
BY_PROJECT,Pictureville Screenings - 'Brought to Life' Season,participants,0
BY_PROJECT,Pictureville Screenings - Cine Spotlights,participant_instances,0
BY_PROJECT,Pictureville Screenings - Cine Spotlights,participants,0
BY_PROJECT,Pictureville Screenings - Epic Yorkshire Season,participant_instances,0
BY_PROJECT,Pictureville Screenings - Epic Yorkshire Season,participants,0
BY_PROJECT,Pictureville Screenings - Northern Youth Film Season,participant_instances,0
BY_PROJECT,Pictureville Screenings - Northern Youth Film Season,participants,0
BY_PROJECT,Pictureville Screenings - Time and Place (Invisible Women),participant_instances,0
BY_PROJECT,Pictureville Screenings - Time and Place (Invisible Women),participants,0
BY_PROJECT,Poetry Takeaway,participant_instances,262
BY_PROJECT,Poetry Takeaway,participants,262
BY_PROJECT,Pop,participant_instances,0
BY_PROJECT,Pop,participants,0
BY_PROJECT,Pop Up Family Pride,participant_instances,100
BY_PROJECT,Pop Up Family Pride,participants,100
BY_PROJECT,Press Trips,participant_instances,0
BY_PROJECT,Press Trips,participants,0
BY_PROJECT,Programme Launch (Sept 12th event),participant_instances,0
BY_PROJECT,Programme Launch (Sept 12th event),participants,0
BY_PROJECT,Punjabi Heritage and Culture by Saath,participant_instances,0
BY_PROJECT,Punjabi Heritage and Culture by Saath,participants,0
BY_PROJECT,Qawalli Night at The Beacon,participant_instances,0
BY_PROJECT,Qawalli Night at The Beacon,participants,0
BY_PROJECT,Qigong and Tai Chi Mid Autumn Moon Festival,participant_instances,123
BY_PROJECT,Qigong and Tai Chi Mid Autumn Moon Festival,participants,123
BY_PROJECT,RISE,participant_instances,2540
BY_PROJECT,RISE,participants,190
BY_PROJECT,Ramadan Pavillion,participant_instances,0
BY_PROJECT,Ramadan Pavillion,participants,0
BY_PROJECT,Re:Born,participant_instances,9
BY_PROJECT,Re:Born,participants,9
BY_PROJECT,Robyn Hood,participant_instances,0
BY_PROJECT,Robyn Hood,participants,0
BY_PROJECT,Roshni,participant_instances,0
BY_PROJECT,Roshni,participants,0
BY_PROJECT,SBC Theatre,participant_instances,271
