id,Activity,Project Name,start,end,date_difference,BD25 Lead Producer,Item Type,Greenlight Status
recDSkSRSTEBfVnvu,Baildon Carnival Banner-making workshop,Our Patch - Baildon Carnival - Banner Making,2025-06-29 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recJ8Xiu9xjE0Gvpu,Baildon Carnival Banners - Inspiration Dance Academy,Our Patch - Baildon Carnival - Banner Making,2025-06-22 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recucccrkWKgWn9k3,Baildon Carnival Banner-making workshop,Our Patch - Baildon Carnival - Banner Making,2025-06-29 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recMyZzaNeS9Lmsra,DRAW Tour,Our Patch - DRAW Tour Workshops: Shipley,2025-06-01 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recG529Y8wv7sxqtJ,Sensory Garden ,Our Patch - Shipley Resource Centre,2025-06-17 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recwJtoVLEmQ9PUbD,Sensory Garden ,Our Patch - Shipley Resource Centre,2025-06-15 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recry32oAK1qjwl9j,Crafty Folk Windhill,Our Patch - Crafty Folk Windhill,2025-06-04 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reccmFa2gCgZNIthB,Performance,The Railway Children,2025-08-06 08:00:00+00:00,,,Abbe Robinson,Event (any public-facing activity),Greenlit
recfeV0Cb5ff1bORa,Skate Park Mural Community Workshop,Our Patch - Bingley Skate Park/Myrtle Park,2025-05-31 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recyseQQ959Um3s3Y,Poetry Slam Workshop - Beckfoot Upper Heaton,Bradford Poetry Slam 2025,,,,Andra Chelcea,Event (any public-facing activity),Greenlit
recAod2X97HdOqt2c,Mural Project - Sunday Social (Older People) ,Our Patch - Denholme Mural Project,2025-06-21 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recVOvgMdpKhO4gXe,Juniors Group - Mural Project,Our Patch - Denholme Mural Project,2025-06-24 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec14GQNq0PMt2FZx,Seniors Group,Our Patch - Windhill Seniors Group,2025-06-04 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recltBEl0iIOmx2KO,Seniors Group,Our Patch - Windhill Seniors Group,2025-06-25 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec1HKokSxOChD3AC,DJ Workshop: K-Town Sound Machine,Our Patch - K Town Sound Machine,2025-06-05 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec6nRgsQxnltUFBL,DJ WOrkshop: K-Town Sound Machine,Our Patch - K Town Sound Machine,2025-06-13 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recFcTcCo7jskYS5m,Speaker Making Workshop/Sound Production Workshop: K-Town Sound Machine,Our Patch - K Town Sound Machine,2025-06-16 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reckex6Q7xWytuZCI,Youth STeering Group Meeting: K-Town SOund Machine,Our Patch - K Town Sound Machine,2025-06-10 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recxNvQtkWD56QfgD,Ride Bradford Event: K-Town Sound Machine (Keighley-Manningham Bike Ride),Our Patch - K Town Sound Machine,2025-06-20 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recKWD4w84D9oqaKL,Rehearsal for Keighley Chorus (special edition),Our Patch - The Keighley Chorus,2025-06-25 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recMmllR59JWiES5n,The Keighley Chorus,Our Patch - The Keighley Chorus,2025-06-27 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recHLCSbjItFhVCI5,Death Cafe Lower Grange,Our Patch - Lower Grange Art Club,2025-06-02 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recKV5x7NgbRLF94Y,Death Cafe Lower Grange,Our Patch - Lower Grange Art Club,2025-06-09 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recQFQ5cZ8i325JE8,Death Cafe Lower Grange,Our Patch - Lower Grange Art Club,2025-06-23 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recSChokwb8Rd7e1j,Death Cafe Lower Grange,Our Patch - Lower Grange Art Club,2025-06-16 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recrIHXKQtwAKfpaf,What you Sayin?,Our Patch - Motiv8 - What you sayin,2025-06-24 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recH83AHo4gSDgjEv,Cultural cooking,Our Patch - Thornby Hub Cook Healthy Meals,2025-06-04 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recZ2aASmYxqJguMo,Photoshoots,Nationhood: Memory and Hope (Aida Muluneh Photography exhibition),,,,Jessica,Event (any public-facing activity),Greenlit
recQFCdUHdpfPaXmG,Parents and Under 5's,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,2025-06-18 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reckyRWmvIpCeYC96,Parents and Under 5's,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,2025-06-11 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recM5xns3TQGEUql2,DRAW Tour,Our Patch - DRAW Tour Workshops: South,2025-06-10 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recEBLCkMvXC9r1PF,Riddlesden Gala,Our Patch - One-off community events: Keighley & Ilkley,2025-06-13 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
receFO9m3jMDNlWnW,Eid Mini Mela,Our Patch - One-off community events: Keighley & Ilkley,2025-06-20 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec6JdeRK8JicagZv,Dick Hudsons Static Performance,The Bradford Progress,2025-05-17 09:00:00+00:00,,,Kat Boon,Event (any public-facing activity),Greenlit
recRFTrQ2lVwfCKYl,Roberts Park  to Saltaire Station,The Bradford Progress,2025-05-18 15:00:00+00:00,,,Kat Boon,Event (any public-facing activity),Greenlit
recc1Of0sRTvt2Hyo,Ilkley Station Static Performance,The Bradford Progress,2025-05-18 11:00:00+00:00,,,Kat Boon,Event (any public-facing activity),Greenlit
recrFSlt1CHdSzOor,Saltaire Station Static Performance,The Bradford Progress,2025-05-18 14:00:00+00:00,,,Kat Boon,Event (any public-facing activity),Greenlit
recuDxfO73ajOnZMU,Broadway - Paraorchestra,The Bradford Progress,2025-05-18 12:00:00+00:00,,,Kat Boon,Event (any public-facing activity),Greenlit
recqoXIMwSD3OAZNk,MAPA Consultation 1,PLAY: Playable Commission,,,,Helen Wells,Event (any public-facing activity),Greenlit
recBAfzSch2Vaot6p,Bierley Art Club,Our Patch - Bierley Community Centre Art Club,2025-06-16 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recxIxDAhQIm91DYw,Bierley Art Club,Our Patch - Bierley Community Centre Art Club,2025-06-02 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec2bfrgCQmnV1zoe,Peachzz consultation session 1,BD: Walls,,,,Abbe Robinson,Event (any public-facing activity),Greenlit
recJuzFcH25ii4dxA,Community visit to Peachzz wall,BD: Walls,,,,Abbe Robinson,Event (any public-facing activity),Greenlit
recTgVzKluXLlkYHh,Boxing,Our Patch - Boxing for wellbeing Al Hira Mosque,2025-06-21 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reck8o9FvJo2UsMbj,Boxing,Our Patch - Boxing for wellbeing Al Hira Mosque,2025-06-14 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recoMasJxjqzu0NL4,Boxing,Our Patch - Boxing for wellbeing Al Hira Mosque,2025-06-28 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec0Wgcgla4oIG02f,Arabic Calligraphy,My Project Does Not Appear,2025-06-19 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec17O4DUwnrfvdmF,Drumming - youth group,My Project Does Not Appear,2025-06-10 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec1r5EJDy0JGTEn5,Pottery,My Project Does Not Appear,2025-06-14 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec3TewBGHTY91z1V,Session,My Project Does Not Appear,2025-06-18 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec3wkcruix0TvdHN,The Peace Meal,My Project Does Not Appear,2025-06-18 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec8Try0dYjZdoafy,Drumming,My Project Does Not Appear,2025-06-24 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recAV7AulyQCpS8gv,Welcome Sign Mosaic ,My Project Does Not Appear,2025-06-19 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recEFMnpDL6OwOG6j,Creative ARts Men's Group: Musarat Raza & Eyarun Nessa,My Project Does Not Appear,2025-06-25 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recEbjVbJ6rdt1QU0,Peace Meal Performance ,My Project Does Not Appear,2025-06-12 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recN7ilYTpMYkvWiB,Poetry,My Project Does Not Appear,2025-06-24 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recNqOmbiHYNYKuDG,Woodworks,My Project Does Not Appear,2025-06-26 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recP5jOpBM4ivfr6p,Garden Party Consultation Event,My Project Does Not Appear,2025-06-27 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recQqybuVF3UpHQlX,Pottery,My Project Does Not Appear,2025-06-21 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recZCPJjMMKA59m6L,Rehearsal for Peace Meal ,My Project Does Not Appear,2025-06-15 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rech1TTst8vdIA9dD,Rehearsal for Peace Meal ,My Project Does Not Appear,2025-06-17 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rechRVXTOjoCan7c4,Rehearsal for The Peace Meal,My Project Does Not Appear,2025-06-18 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recj6NcAdNt7UOHn5,Peace Meal Performance ,My Project Does Not Appear,2025-06-05 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recmI3M5aO3S6UHRW,Drumming - youth group,My Project Does Not Appear,2025-06-17 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recoroxpwQ5UMTxpw,The Bradford Street Choirs Festival ,My Project Does Not Appear,2025-06-13 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recppRB0GlqIqMUPp,Outreach/Engagement: K-Town Sound Machine,My Project Does Not Appear,2025-06-03 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recsIpZzvotABv070,Baildon Carnival Workshop - Peace Dance Academy,My Project Does Not Appear,2025-06-04 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recuugboSA2tfTDng,Rehearsal for Peace Meal ,My Project Does Not Appear,2025-06-16 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recwhhnnT7p0EZ4bk,Arabic Calligraphy,My Project Does Not Appear,2025-06-12 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recxjqw0jDp8wMO2B,Empowerment session ,My Project Does Not Appear,2025-06-23 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recxo9ZaGG4IkhkPR,Burley Arts Festival - Placard-making workshop,My Project Does Not Appear,2025-06-27 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reczL9121MrL6nZkh,Arabic Calligraphy,My Project Does Not Appear,2025-06-26 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reczkBA08hMiVQfHE,Sip and Paint ,My Project Does Not Appear,2025-06-11 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec3Tc5er9kaA2Yek,Carnival Dance Workshop,Our Patch - Carnival Dance Project,2025-06-16 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recwKJJMKh5mTPZOk,Carnival Dance Workshop,Our Patch - Carnival Dance Project,2025-06-09 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recYN3Q69Ja4toOTg,Musical Stories ,Our Patch - Musical Stories,2025-06-15 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recn9F7DQi53zKfYL,Musical Stories ,Our Patch - Musical Stories,2025-06-29 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec191PsdVL0GnBO8,Bagsy the Back Seat (over two separate sessions),Our Patch - Bagsy the Backseat,2025-05-31 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rectz3PfQAevaHTB9,Bagsy the Back Seat Planning,Our Patch - Bagsy the Backseat,2025-06-05 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec8XMNMFQd5NyU86,Girls group,Our Patch - MAPA Girls Group,2025-06-18 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recDrCsscOE2vkvx0,Girls Group,Our Patch - MAPA Girls Group,2025-06-11 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reccaMpYVz4CC3g8F,Girls group,Our Patch - MAPA Girls Group,2025-06-04 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recjkcZUJ3XNJrNDm,Girls group,Our Patch - MAPA Girls Group,2025-06-25 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec6YXm4eMpj74QBj,Youth Group - Music,Our Patch - Ravenscliffe Drumming Workshops,2025-06-18 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec8sJKlDoGgChWph,Drumming - youth group,Our Patch - Ravenscliffe Drumming Workshops,2025-06-01 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recZh8F5zJhT4hkuv,Youth Group - Music,Our Patch - Ravenscliffe Drumming Workshops,2025-06-22 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recd8ugeXQatodVvq,Youth Group - Music,Our Patch - Ravenscliffe Drumming Workshops,2025-06-15 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recDL1pEOfFMKMLJF,DRAW Tour for Older Adults ,Our Patch - DRAW Tour Workshops: East,2025-06-02 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recDw940ippg4GAlU,DRAW Tour (Guides Takeover),Our Patch - DRAW Tour Workshops: East,2025-06-13 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recVP7oFLRraLEbew,Creative Play for Under 5's (&DRAW),Our Patch - DRAW Tour Workshops: East,2025-06-01 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec5vzixibFeMl44m,Celebration Event BD25,Our Patch - One-off community events: East,2025-06-03 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recc5cfsV81kSuscT,Famliy Fun Day,Our Patch - One-off community events: East,2025-06-06 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rechTETlfayyfCHkS,One-off session with alternative provision for Wrose Carnival,Our Patch - One-off community events: East,2025-06-18 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec29hKYx2IotMT9Q,Bradford Workshops,Here We Stand,,,,Harry Jelley,Event (any public-facing activity),Greenlit
recDqXOBlYYcz1dNL,Sarajevo Workshops,Here We Stand,,,,Harry Jelley,Event (any public-facing activity),Greenlit
recVMA6v4wynK4x5E,Derry Workshops,Here We Stand,,,,Harry Jelley,Event (any public-facing activity),Greenlit
recEq56szU8U54HrL,Kite flying and arts and craft,Our Patch - One-off community events: West,2025-06-27 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recXEFdcs18CvlyH4,Rollerskating,Our Patch - One-off community events: West,2025-06-27 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recpVW05DGKR5VeG8,Zumba,Our Patch - One-off community events: West,2025-06-27 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recJdciIMxuzF0HkG,Ladies Group,Our Patch - Woodroyd Tapestry Project,2025-06-23 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recRKiavZaqqzwPss,Ladies Group,Our Patch - Woodroyd Tapestry Project,2025-06-16 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recYHNJI6cHduNVZg,Ladies Group,Our Patch - Woodroyd Tapestry Project,2025-06-09 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec5JJxf4D36fkitz,Senior Ladies Group,Our Patch - The Gateway Centre Weaving Project,2025-06-22 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec7V4nhdSFaKtrdb,Senior Ladies Group,Our Patch - The Gateway Centre Weaving Project,2025-06-15 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recFvClrMjCYl4xz5,Senior Ladies Group,Our Patch - The Gateway Centre Weaving Project,2025-06-19 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recXetZg52Myi9MDP,Wellbeing Walk: Musarat Raza & Eyarun Nessa,Our Patch - The Wellbeing Walkers,2025-06-24 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec9lCFBe0z6nf5Zl,The Travelling Spoon,Our Patch - The Travelling Spoon,2025-06-01 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recqO6w1RHKPu9RgT,The Travelling Spoon,Our Patch - The Travelling Spoon,2025-06-08 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recjMYTJzcExP1trd,Reevy Hill Mural (inital engagement sesh),Our Patch - Reevy Hill Mural,2025-06-17 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recb1zNa4MtP02HPo,Youth Zen Den,Our Patch - Youth Zen Den,2025-06-04 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recvlpcU2yI8FF5Fp,DRAW Tour,Our Patch - DRAW Tour Workshops: Keighley & Ilkley,2025-06-13 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recDHBuR5SKNb6QQI,The Blank Page Club,Our Patch - The Blank Page Club,2025-06-02 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recGnzDmzJHAuw3kk,The Blank Page Club,Our Patch - The Blank Page Club,2025-06-23 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recYB0pxsJTFG369D,The Blank Page Club,Our Patch - The Blank Page Club,2025-06-16 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recZc4ak3wxdJNfqu,The Blank Page Club,Our Patch - The Blank Page Club,2025-06-09 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recCvZxjC2rU9khUi,Scouts ,Our Patch - Scouts and Cubs at St James Church Hall,2025-06-18 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recaaxFt3umVwfu1D,Scouts ,Our Patch - Scouts and Cubs at St James Church Hall,2025-06-11 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recexVzYaD2bEqHRW,Scouts Group (Zahabia),Our Patch - Scouts and Cubs at St James Church Hall,2025-06-25 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recX65bey2lmg9RH7,Ladies Group,Our Patch - Dhol Drumming,2025-06-03 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recMw9iBbYwNhuesD,Session,Our Patch - Northcliffe Environmental Enterprises Team (NEET),2025-06-03 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec9JlMxwriB7Jhdh,Older Youth Group,Our Patch - Denholme Youth Group,2025-06-29 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recFHdHhXxzQkKLcZ,Older Youth Group,Our Patch - Denholme Youth Group,2025-06-15 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recGoB6HdHcz1PJul,Older Youth Group,Our Patch - Denholme Youth Group,2025-06-01 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recP4ZOXj10PusCls,Singing for Wellbeing ,Our Patch - Singing for Wellbeing at The Good Shepherd Centre,2025-06-29 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recUKpROqBp27BkvT,Singing for Wellbeing,Our Patch - Singing for Wellbeing at The Good Shepherd Centre,2025-06-15 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recXfa0r5a7e2Ni4o,Singing for Wellbeing,Our Patch - Singing for Wellbeing at The Good Shepherd Centre,2025-06-08 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reckctfO8w3MuUhUL,Singing for Wellbeing ,Our Patch - Singing for Wellbeing at The Good Shepherd Centre,2025-06-22 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recRmW9JsegqiYPS4,Giraffe Junk Modelling,Compagnie Off: Giraffes,,,,Helen Wells,Event (any public-facing activity),Greenlit
recCclP0Pof33lE2o,Cadets Banner-making workshop,Our Patch - Cadets (Keighley/Shipley),2025-06-02 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recoDiiVtCoIuaXKo,Burley Arts Festival - Walter Lemon Face,Our Patch - One-off community events: Shipley,2025-06-28 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recpf8eqJJGlPiBOh,Eid Party,Our Patch - Delius School,2025-06-10 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reczwcSPSc7uYdDOV,Drumming,Our Patch - MAPA Youth Group,2025-06-04 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recRCRZ1ID9p7CD6D,Beckfoot Upper Heaton Workshop 4,STRIKE,,,,Harry Jelley,Event (any public-facing activity),Greenlit
receaA4ybUDOJyE5J,Beckfoot Thornton Workshop 4,STRIKE,,,,Harry Jelley,Event (any public-facing activity),Greenlit
recigFEYbbtPeBOE6,Dixons City Academy Workshop 4,STRIKE,,,,Harry Jelley,Event (any public-facing activity),Greenlit
recuOmOoDPp0G53Uv,Eden Boys Workshop 4,STRIKE,,,,Harry Jelley,Event (any public-facing activity),Greenlit
recCc02o9Xib0fs6s,Youth Opera Session 11 (Tong),"Sing, Dance, Leap",2025-02-05 14:15:00+00:00,2015-02-05 15:45:00+00:00,"-3653 days, 1:30:00",Alice Boulton-Breeze,Event (any public-facing activity),Greenlit
recu79BgAI8Tj652M,Youth Opera Session 15 (Tong) ,"Sing, Dance, Leap",2025-03-12 14:15:00+00:00,2015-03-12 15:45:00+00:00,"-3653 days, 1:30:00",Alice Boulton-Breeze,Event (any public-facing activity),Greenlit
recbIjzLdTBvVB8O5,Press Trip - May 2025,Press Trips,2025-05-15 11:57:00+00:00,2025-01-10 00:00:00+00:00,"-126 days, 12:03:00",,Event (any public-facing activity),
rec0cCGFOVtAwOabY,Launch Event with British Library (Food Season) announcement and marketing begins,Bradford Selection,2025-06-09 23:00:00+00:00,2025-02-17 00:00:00+00:00,"-113 days, 1:00:00",Alice Boulton-Breeze,Event (any public-facing activity),Greenlit
recyNwmEts1EhKpOQ,Miriam Lord x Priority Care Home Session 5,PLAY: Intergenerational Play,2025-11-06 13:30:00+00:00,2025-09-23 13:30:00+00:00,"-44 days, 0:00:00",Andra Chelcea,Event (any public-facing activity),Greenlit
recIfC4TGDtfJMoG4,Stage 84 x Royal Opera Session 2,"Sing, Dance, Leap",2025-05-08 16:00:00+00:00,2025-04-08 18:00:00+00:00,"-30 days, 2:00:00",Alice Boulton-Breeze,Event (any public-facing activity),Greenlit
recpJMZWaGfYhIYDO,Launch Event with British Library (Food Season),Bradford Selection,2025-06-09 23:00:00+00:00,2025-05-14 23:00:00+00:00,"-26 days, 0:00:00",Alice Boulton-Breeze,Event (any public-facing activity),Greenlit
reczGENDDu5vkZ5OG,High Crags Primary Academy x Anchor Hallcroft Shipley Session 6,PLAY: Intergenerational Play,2025-06-26 12:30:00+00:00,2025-06-19 13:30:00+00:00,"-7 days, 1:00:00",Andra Chelcea,Event (any public-facing activity),Greenlit
recc0n9LqkMMVD08g,"Zadie Xa - in conversation with Jennifer Higgie. Still need to work out timings and a venue, would ideally like to host in CH, perhaps in the collection space.",Turner Prize,2026-02-05 11:37:00+00:00,2026-02-02 11:37:00+00:00,"-3 days, 0:00:00",Molly Rigg,Event (any public-facing activity),Greenlit
recPMnNQQk8OOc156,Ben Rhydding Primary x Mayfield Care Home Session 2,PLAY: Intergenerational Play,2025-09-26 12:30:00+00:00,2025-09-23 13:30:00+00:00,"-3 days, 1:00:00",Andra Chelcea,Event (any public-facing activity),Greenlit
recJoDiRjfqsnB8Bk,Bradford Forster Academy Session,Turner Prize,2025-10-17 12:00:00+00:00,2025-10-14 15:00:00+00:00,"-3 days, 3:00:00",Molly Rigg,Event (any public-facing activity),Greenlit
