event_name,tickets,earliest
Punjabi Culture by Saath,270,2025-06-08 16:30:00+01:00
Pysanky Egg Painting,12,2025-07-12 15:00:00+01:00
RISE Reception,1827,2025-01-10 16:00:00+00:00
Radio Production Workshops,48,2025-08-05 14:00:00+01:00
Reggae & Brass,690,2025-04-11 19:15:00+01:00
Requiem,606,2025-06-07 18:00:00+01:00
Rich(ard) Dawson,609,2025-08-09 19:30:00+01:00
Richard Dawson,462,2025-08-09 19:30:00+01:00
Richard Hawley / Black Dyke Band,4536,2025-04-12 19:30:00+01:00
Rizwan-Muazzam Qawwali Group,3156,2025-05-14 19:30:00+01:00
Seen & Heard: Here & There,48,2025-07-19 14:00:00+01:00
Session 10: Public Mural Creation - Part 2,111,2025-07-26 10:00:00+01:00
Session 11: Unveiling & Programme Wrap-Up,111,2025-08-09 10:00:00+01:00
Session 1: Techniques & Methods,72,2025-04-05 10:00:00+01:00
Session 2: Digital Design & Scaling,81,2025-04-14 18:30:00+01:00
Session 3: Doodle Grid & Pounce Practice,78,2025-04-26 10:00:00+01:00
Session 4: Responding to a Brief,99,2025-05-12 18:30:00+01:00
Session 5: Collaborative Design,102,2025-05-27 18:30:00+01:00
Session 6: Pitching Work,108,2025-06-09 18:30:00+01:00
Session 7: Mockup & Scaling,117,2025-06-21 10:00:00+01:00
Session 8: Selecting Paint & Materials ,99,2025-06-30 18:30:00+01:00
Session 9: Public Mural Creation - Part 1,105,2025-07-12 10:00:00+01:00
Sisterverse Poetry Night,138,2025-09-19 19:00:00+01:00
Social Prescribing Awards – Q&A Session,51,2024-12-10 12:00:00+00:00
Street Art Consultation Event,84,2024-10-28 18:00:00+00:00
Street Sounds & Bhangra Niche,600,2025-05-23 18:00:00+01:00
Summer Solstice Solace,90,2025-06-21 11:00:00+01:00
Sustainability Panel: Future,72,2025-09-21 12:30:00+01:00
Sustainability Panel: Shadows and Light,99,2025-09-21 11:00:00+01:00
Sustainability Panel: The Present,129,2025-09-20 12:30:00+01:00
Test Event For Printing Plans,3,2025-07-23 18:30:00+01:00
Thar Farraige (Over Sea),666,2025-06-08 13:30:00+01:00
The Anatomy of the Orchestra Touch Tour,6,2025-05-18 13:00:00+01:00
The Archers Podcast Recording,1050,2025-09-18 17:00:00+01:00
The Future Starts Here,156,2025-08-11 10:00:00+01:00
The Pahari-Pothwari Literature Project Showcase,729,2025-06-27 18:30:00+01:00
The Path,2049,2025-06-07 15:00:00+01:00
The Verb,993,2025-09-20 14:30:00+01:00
Threads of Sound: A Woollen Heritage,810,2025-06-07 13:30:00+01:00
Tower of Now Launch,228,2025-04-26 11:00:00+01:00
Traditional Ukrainian Painting,27,2025-07-12 12:00:00+01:00
Tu i Tam/Tyt i Tam Preview,264,2025-07-02 18:00:00+01:00
Turntablist Workshop,15,2025-06-14 13:00:00+01:00
Voice Notes,570,2025-06-08 18:00:00+01:00
Volunteer Recruiting & Retention - Elevate Workshop,12,2025-05-24 10:00:00+01:00
Wallace & Gromit: The Wrong Trousers - Live,1854,2025-04-12 11:00:00+01:00
We Will Sing Preview Event,489,2025-05-01 17:30:00+01:00
What Are You Watching?,141,2025-07-17 14:00:00+01:00
Word Out Sharing Event,60,2025-09-20 17:30:00+01:00
Words First Showcase,426,2025-09-21 16:00:00+01:00
Yearn - Sipho,879,2025-06-07 19:30:00+01:00
Yoga & Poetry Workshop,48,2025-09-21 10:00:00+01:00
Yorkshire Beer Festival,9,2025-08-01 17:00:00+01:00
Yorkshire Day Civic Reception,342,2025-08-01 13:00:00+01:00
Youth Pass Social,6,2025-04-24 18:00:00+01:00
Youth Pass: Calligraphy Workshop with Razwan Ul-Haq,33,2025-07-19 13:00:00+01:00
"Youth Pass: Guided walk, Chat & Treats in Saltaire",42,2025-06-25 18:00:00+01:00
Youth Pass: Letterpress Printing Workshop,27,2025-10-09 18:00:00+01:00
Youth Pass: Padel Coaching Session,33,2025-09-14 11:00:00+01:00
Youth Pass: Padel Session ,24,2025-09-20 12:00:00+01:00
Youth Pass: Poetry Workshop,6,2025-09-10 18:00:00+01:00
Youth Pass: Sip & DRAW! - Charcoal Skills,18,2025-09-13 11:00:00+01:00
Youth Pass: Sip & DRAW! - Sketchbook Workshop,3,2025-10-02 18:00:00+01:00
crowdEngage Test Event,24,2024-11-20 18:00:00+00:00
