TOTAL CARBON FOOTPRINT (tCO2e),Average car occupancy,TOTAL MILES BY ALL TRAVEL TYPES,Percentage of total miles by bicycle,Percentage of total miles by bus,Percentage of total miles by car (diesel),Percentage of total miles by car (electric),Percentage of total miles by car (hybrid),Percentage of total miles by car (other),Percentage of total miles by car (petrol),Percentage of total miles by car (plug in hybrid),Percentage of total miles by coach,Percentage of total miles by ferry,Percentage of total miles by flying,Percentage of total miles by motorbike,Percentage of total miles by rail,Percentage of total miles by taxi,Carbon footprint - Bus,Carbon footprint - Car (Diesel),Carbon footprint - Car (Electric),Carbon footprint - Car (Hybrid),Carbon footprint - Car (Other),Carbon footprint - Car (Petrol),Carbon footprint - Car (Plug in hybrid),Carbon footprint - Coach,Carbon footprint - Ferry,Carbon footprint - Flying,Carbon footprint - Motorbike,Carbon footprint - Rail,Carbon footprint - Taxi
0,1.5,35.25,0,11.32,0,0,0,0,25.39,0,0,0,0,0,63.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,5.75,0,0,0,0,0,0,85.39,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.75,70.19,0,4.07,0,0,0,0,95.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,29.54,0,56.43,0,0,0,0,30.13,0,0,0,0,0,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1.3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,80.18,0,0,0,0,0,0,18.2,0,0,0,0,0,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,5.35,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2.97,0,0,80.13,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0.57,0,0,0,0,0,33.33,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.67,666.96,0,0.01,11.7,3.92,3.86,0.79,47.84,0,0,0,0,0,30.24,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.84,3300.93,0.21,10.26,3.28,2.58,0.49,9.17,28.37,0,6.91,0,0,0,37.05,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69,1.8,65.62,0,25.68,0,17.97,6.57,0,9.48,0,0,0,0,0,40.31,0,439.66,0,398.24,181.98,0,346.66,0,0,0,0,0,323.51,0
0,0,3.02,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.33,24.93,1.85,0,92.46,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.79,182.59,0,5.2,6.48,0,4.12,0,83.54,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,5.26,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,25.6,0,6.37,0,0,0,4.45,86.05,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,56.89,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.25,33.54,0,7.63,0,42.9,0,1.28,47.94,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2.74,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.2,126.74,0,27.46,0,0,0,0,28.86,0,0,0,0,0,41.76,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,106.05,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.21,1434.21,0.12,12.78,4.15,0,1.94,17.94,29.85,0,0,0,0,0,32.97,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.25,392.76,0,0,15.31,0,0,6.25,0.63,0,0,0,0,0,76.58,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7.04,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6.6,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.92,306.88,0,3.79,2.06,0,5.83,19.89,59.37,0,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.63,494.19,0.53,1.48,0,0,0,0,92.27,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,16.27,0,22.25,0.49,0,0,0,32.27,0,0,0,0,0,43.95,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,221.33,0.24,0.81,1.9,0,0,0,5.16,0,0,0,0,0,91.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.29,328.85,1.25,6.5,14.51,0,0,0,15.05,0,58.53,0,0,0,2.93,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,17.86,0,9.13,0,0,0,69.09,0,0,0,0,0,0,0,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,8.05,0,10.93,0,0,14.53,63.6,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,8.26,0,17.31,0,71.07,0,0,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,2,5.3,0,40,0,0,0,0,20,0,0,0,0,0,40,0,136.47,0,0,0,0,43.73,0,0,0,0,0,42.65,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,3,14.53,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,576.36,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.33,6.75,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,27.22,0,17.96,6.65,0,0,14.99,0,0,0,0,0,0,42.06,18.33,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2,21.87,0,0,0,0,0,0,67.08,0,0,0,0,0,32.92,0,0,0,0,0,0,9.68,0,0,0,0,0,2.32,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0,3.56,10.11,59.83,0,0,0,0,0,0,0,0,0,0,30.06,0,63.62,0,0,0,0,0,0,0,0,0,0,9.99,0
65.67,3,102.29,0,43.28,4.6,0,0,0.74,4.39,0,0,0,0,0,44.43,2.55,34197.83,1601.4,0,0,172.27,2963.4,0,0,0,0,0,21943.35,4788.43
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.74,2.56,52.22,4,4,36.25,0.88,2.32,4.39,16.7,0,0,0,0,0,31.46,0,143.15,334.38,4.78,31.43,80.9,59.8,0,0,0,0,0,87.92,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
24.84,2.65,513.99,0,3.36,8.1,3.61,26.15,6.13,16.7,0,0,0,0,0,35.11,0.83,1706.63,1538.27,807.7,14608.66,1553.42,1026.19,0,0,0,0,0,2091.04,1504.12
0.67,0,33.15,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,669.54,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,1,20.68,0,7.69,0,0,0,0,5.27,0,0,0,0,0,87.04,0,63.87,0,0,0,0,56.11,0,0,0,0,0,112.98,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,20.11,0,0,0,0,0,12.13,62.46,0,0,0,0,0,17.35,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64,3.5,3.48,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,945.55,0,695.25,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0,69.99,30.01,0,0,0,0,0,0,0,0,0,0,0,0,0
5.49,1.6,90.26,0,9.07,0,4.5,16.53,10.13,59.77,0,0,0,0,0,0,0,949,0,114.19,1049.06,874.01,2503.62,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
9.44,4.33,260.73,0,1.23,0.12,85.67,0,0,3.15,0,0,0,0,0,9.83,0,1062.94,31.4,6654.67,0,0,808.14,0,0,0,0,0,886.82,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,1,57.46,0,7.26,0,27.97,0,0,3.13,0,0,0,0,0,58.88,2.77,85.9,0,128.56,0,0,95.04,0,0,0,0,0,145.18,77.79
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,146.41,0,2.49,97.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,5,8.35,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,49.27,0,0,0,0,0,0,0,0,0
0.13,0,11.78,0,26.99,0,0,0,0,0,0,0,0,0,0,73.01,0,68.78,0,0,0,0,0,0,0,0,0,0,58.13,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,17.74,0,22.27,0,0,0,0,63.81,0,0,0,0,0,0,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,39.48,0
0,3.29,143.22,0,0.05,37.76,0,30.3,3.66,28.13,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,168.84
0.04,2,2.82,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,37.22,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.4,663.52,0,7.59,4.96,0,0,0,64.12,0,0,0,0,0,23.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.71,363.69,0,3.12,2.11,0,7.42,0,7.35,0,0,0,0,0,77.82,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,0,2.75,52.73,36.73,0,0,0,0,0,0,0,0,0,0,0,10.55,286.08,0,0,0,0,0,0,0,0,0,0,0,97.54
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,17.18,0,0,0,0,0,0,86.09,0,0,0,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
44.23,1.97,1479.75,0,2.43,5.75,8.03,16.27,22.72,28.93,0,0,0,0,0,15.86,0,2020.48,3747.02,4615.24,5844.29,17758.1,7836.57,0,0,0,0,0,2408.33,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.77,1.75,32.64,0,4.99,0,13.73,0,12.56,68.72,0,0,0,0,0,0,0,90.66,0,55.3,0,172.06,456.8,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,23.4,0,11.07,50.68,0,0,19.1,19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
53.08,0,24.51,0,66.46,0,0,0,0,0,0,0,0,0,0,33.54,0,45851,0,0,0,0,0,0,0,0,0,0,7230.19,0
1.85,2,188.42,0,0,0,3.36,96.64,0,0,0,0,0,0,0,0,0,0,0,25.36,1820.8,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1.76,2,72.5,0,0,0,0,0,18.43,52.79,0,0,0,0,0,28.79,0,0,0,0,0,240.75,1338.68,0,0,0,0,0,178.01,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.85,463.53,0,2.24,4.7,0,0,0,70.4,0,0,0,0,0,22.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0,28.2,0,29.82,0,0,0,0,0,0,0,0,0,0,70.18,0,344.32,0,0,0,0,0,0,0,0,0,0,253.2,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11,2,59.02,0.42,11.3,0,0,0,1.22,8.96,0,0,0,0,0,76.03,2.07,239.3,0,0,0,51.16,364.85,0,0,0,0,0,301.84,155.93
6.32,2,21.72,0,0,9.99,0,0,0,0,0,0,0,0,0,90.01,0,0,1201.14,0,0,0,0,0,0,0,0,0,5122.11,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,2,5.09,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,40.31,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44,2.75,74.08,0,0,21.19,0,0,0,76.01,0,0,0,0,0,0,2.79,0,578.45,0,0,0,671.22,0,0,0,0,0,0,188.62
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
28.64,2,65.97,0,12.41,7.14,0,4.96,0,7.37,0,0,0,0,0,68.12,0,4451.14,5070.03,0,2588.21,0,5077.63,0,0,0,0,0,11448.85,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
61.47,3,239.68,0,11.36,0,0,0,0,79.85,0,3.58,0,0,0,5.21,0,14446.64,0,0,0,0,30982.23,0,5696.69,0,0,0,10345.56,0
5.18,2.4,244.51,0,0,2.56,0,0,95.22,2.21,0,0,0,0,0,0,0,0,259.37,0,0,4815.7,108.61,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,14.96,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29,3.67,16.35,0,0,80.43,0,0,0,19.57,0,0,0,0,0,0,0,0,199.79,0,0,0,94.38,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.87,1183.83,0.46,1.03,20.84,1.08,24.4,0,24.3,0,0,0,0,0,27.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.14,65.38,1.09,20.11,12.54,0,17.79,7.98,40.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,4,4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,56.76,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
11.94,8,111.98,2,7.98,0.18,0,44.92,0,0,0,0,0,0,0,44.92,0,3466.81,12.8,0,2367.24,0,0,0,0,0,0,0,6095.52,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
8.99,1.83,211.59,0,3.86,1.17,0,0,0.55,14.54,0,0,0,0,0,79.88,0,1472.21,968.53,0,0,456.93,2914.89,0,0,0,0,0,3176.48,0
16.07,2,167.64,0,2.61,14.81,0,0,2.17,63.99,0,0,0,0,0,16.42,0,487.61,1829.14,0,0,804.44,11504.71,0,0,0,0,0,1439.92,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
