Project Name (fx),Project Name,Programme Category,CP - Unique Participants to date,CL - Unique Participants to date,CP Activity Category,Total UNIQUE People Receiving Training
Wild Uplands,Wild Uplands,"Visual Arts and Sculpture,Heritage,Major,International,Exhibition,Outdoor (not Outdoor arts)",2240,301,01 - General CP activity,0
Turner Prize,Turner Prize,"Visual Arts and Sculpture,Major,National Collaboration,Exhibition,Festival,Talent Development",1499,4711,01 - General CP activity,9
Elmet,Elmet,"Theatre,Engagement",86,0,01 - General CP activity,0
Brighter Still,Brighter Still,"Engagement,Theatre,Dance / Movement / Circus,Major,Outdoor (not Outdoor arts)",529,50,01 - General CP activity,0
We Will Sing ,We Will Sing ,"Visual Arts and Sculpture,International,Major,Exhibition,Talent Development",231,576,01 - General CP activity,4
Back In The Pink ,Back In The Pink ,"Heritage,Combined arts,Exhibition,Film,Visual Arts and Sculpture",7,0,01 - General CP activity,0
Compagnie Off: Giraffes,Compagnie Off: Giraffes,"Outdoor arts,Performance - other,International,Engagement",14,10,01 - General CP activity,0
The Invite by Mind the Gap ,The Invite by Mind the Gap ,Theatre,15,0,01 - General CP activity,0
New Focus: Make Yourself at Home,New Focus: Make Yourself at Home,"Visual Arts and Sculpture,Exhibition,Engagement,Talent Development",235,0,01 - General CP activity,9
Nationhood: Memory and Hope,Nationhood: Memory and Hope,"Visual Arts and Sculpture,National Collaboration,Exhibition,Engagement",15,0,01 - General CP activity,0
TCF Artist Residency,TCF Artist Residency,Visual Arts and Sculpture,21,0,01 - General CP activity,0
RIDE! by Spin Arts,RIDE! by Spin Arts,"Theatre,Dance / Movement / Circus,Talent Development",348,0,01 - General CP activity,2
Ice Age Art Now,Ice Age Art Now,"Exhibition,National Collaboration,Engagement",1685,271,01 - General CP activity,0
Tower of Now,Tower of Now,"Visual Arts and Sculpture,Outdoor arts,Major",201,0,01 - General CP activity,0
New Music Biennial,New Music Biennial,"Festival,Broadcast,Music,National Collaboration",34,0,01 - General CP activity,0
Here We Stand,Here We Stand,"International,Film,Visual Arts and Sculpture,Exhibition",436,0,01 - General CP activity,0
Bassline Symphony,Bassline Symphony,Music,82,111,01 - General CP activity,0
Basel Zaraa - Moomins,Basel Zaraa - Moomins,"Visual Arts and Sculpture,Outdoor arts,National Collaboration",132,0,01 - General CP activity,0
BBC Contains Strong Language,BBC Contains Strong Language,"Literature,Festival,Broadcast,National Collaboration,International",800,872,01 - General CP activity,0
Built By Sound ,Built By Sound ,"Digital,Heritage",34,0,01 - General CP activity,0
"Sing, Dance, Leap","Sing, Dance, Leap","Music,Dance / Movement / Circus,National Collaboration,Talent Development,Engagement",24,3165,01 - General CP activity,134
Meet Our Mothers,Meet Our Mothers,"Heritage,Digital,Engagement,Talent Development",166,13,01 - General CP activity,1
The Bradford Progress ,The Bradford Progress ,"Music,Major,Outdoor (not Outdoor arts)",430,28,01 - General CP activity,0
Big Brass Blowout,Big Brass Blowout,"Music,Festival,Broadcast,Outdoor arts,Engagement",33,0,01 - General CP activity,0
Where It Began – Osman Yousefzada,Where It Began – Osman Yousefzada,"Visual Arts and Sculpture,Exhibition,Engagement,Talent Development",65,261,01 - General CP activity,1
Elevate - Heritage Skills Project,Elevate - Heritage Skills Project,"Heritage,Talent Development",55,0,01 - General CP activity,45
Life Class (509 Arts),Life Class (509 Arts),"Theatre,Engagement,Digital,Music",35,0,01 - General CP activity,0
BD: Walls,BD: Walls,"Outdoor arts,Heritage,Visual Arts and Sculpture,Talent Development,Engagement",376,0,01 - General CP activity,15
At The 1 in 12,At The 1 in 12,"Heritage,Music",186,0,01 - General CP activity,0
Lay Down Your Burdens,Lay Down Your Burdens,Dance / Movement / Circus,3,0,01 - General CP activity,0
Smoosh at BD Fest 2024,Smoosh at BD Fest 2024,"Music,Engagement,Dance / Movement / Circus,Outdoor (not Outdoor arts)",9,0,01 - General CP activity,0
BBC Extraordinary Portraits ,BBC Extraordinary Portraits ,"Visual Arts and Sculpture,Exhibition,Engagement",1200,0,01 - General CP activity,0
PLAY: Replay,PLAY: Replay,"Engagement,Theatre",23,0,01 - General CP activity,0
PLAY: Playable Commission (Balancing Acts),PLAY: Playable Commission (Balancing Acts),"Visual Arts and Sculpture,Outdoor arts,Major,Engagement",9,0,01 - General CP activity,0
PLAY: Grue,PLAY: Grue,"Engagement,Theatre,Exhibition",357,285,01 - General CP activity,0
PLAY: Intergenerational Play,PLAY: Intergenerational Play,"Engagement,Major",326,317,01 - General CP activity,0
Otherhood by Old Bird (Deborah Pakkar-Hull and Emma Adams),Otherhood by Old Bird (Deborah Pakkar-Hull and Emma Adams),Theatre,371,0,01 - General CP activity,0
Bradford DNA by Razwan Ul-Haq,Bradford DNA by Razwan Ul-Haq,,482,0,01 - General CP activity,0
Frontline 1984-1985 by Victor Wedderburn,Frontline 1984-1985 by Victor Wedderburn,"Heritage,Visual Arts and Sculpture,Exhibition",1828,0,01 - General CP activity,0
Journeys with Mai: Exhibition and Youth Engagement Programme,Journeys with Mai: Exhibition and Youth Engagement Programme,"Engagement,Exhibition,Visual Arts and Sculpture",479,297,01 - General CP activity,0
A Good Yarn: Luke Jerram,A Good Yarn: Luke Jerram,"Visual Arts and Sculpture,Engagement,Heritage,Outdoor arts",1541,145,01 - General CP activity,0
West Yorkshire Young Poet Laureate,West Yorkshire Young Poet Laureate,Literature,17,0,01 - General CP activity,0
Drum Roll Please,Drum Roll Please,"Engagement,Literature",67,0,01 - General CP activity,0
Bradford A City of Film: Big Screen @ Milner Field Manor House Ruins ,Bradford A City of Film: Big Screen @ Milner Field Manor House Ruins ,"Film,Outdoor (not Outdoor arts)",10,0,01 - General CP activity,0
Bradford A City Of Film: A Screen Near You - Bradford Cinema Creators,Bradford A City Of Film: A Screen Near You - Bradford Cinema Creators,"Film,Talent Development",9,0,01 - General CP activity,9
STRIKE,STRIKE,"Outdoor arts,Heritage",618,278,01 - General CP activity,0
"So Far, So Good (Yorkshire Dance, as part of BD FEST)","So Far, So Good (Yorkshire Dance, as part of BD FEST)","Dance / Movement / Circus,Talent Development",34,0,01 - General CP activity,0
Cultural City of Sanctuary ,Cultural City of Sanctuary ,Engagement,105,0,01 - General CP activity,0
Pins For Peace by Mek Summat,Pins For Peace by Mek Summat,,1250,0,01 - General CP activity,0
Ark,Ark,"Engagement,Combined arts,Food / Culinary,Associated Events,Exhibition,Literature,Music,Visual Arts and Sculpture",368,0,01 - General CP activity,0
Share Your Story at Beacon (National Literacy Trust),Share Your Story at Beacon (National Literacy Trust),"Engagement,Literature",1824,1163,01 - General CP activity,0
Say It As It Is (Wibsey),Say It As It Is (Wibsey),Music,15,0,01 - General CP activity,0
Let's Make,Let's Make,Combined arts,1509,0,01 - General CP activity,0
Loud and Proud Dohl Drumming,Loud and Proud Dohl Drumming,Music,267,0,01 - General CP activity,0
PLAY Facilitators @ Beacon (all),PLAY Facilitators @ Beacon (all),Combined arts,2039,0,01 - General CP activity,0
Bradford South Young Peoples Celebration (Youth Service),Bradford South Young Peoples Celebration (Youth Service),"Engagement,Combined arts",70,0,01 - General CP activity,0
BBC Introducing @ The Beacon,BBC Introducing @ The Beacon,Music,9,0,01 - General CP activity,0
Tech Styles @ The Beacon,Tech Styles @ The Beacon,"Dance / Movement / Circus,Performance - other",39,0,01 - General CP activity,0
Bradford Sanctuary Seekers Education Awards 2025,Bradford Sanctuary Seekers Education Awards 2025,Combined arts,115,0,01 - General CP activity,0
Club Ekta (multiple events),Club Ekta (multiple events),Combined arts,45,0,01 - General CP activity,0
Pop Up Family Pride,Pop Up Family Pride,Combined arts,100,0,01 - General CP activity,0
Museums for Play and Growth,Museums for Play and Growth,Combined arts,66,0,01 - General CP activity,0
Say It As It Is (Bowling),Say It As It Is (Bowling),Music,12,0,01 - General CP activity,0
Connecting Communities,Connecting Communities,Combined arts,392,0,01 - General CP activity,0
Easter Fun and Celebration,Easter Fun and Celebration,Combined arts,421,0,01 - General CP activity,0
Beacon Church Community Cuppa,Beacon Church Community Cuppa,Combined arts,76,0,01 - General CP activity,0
Youth Club in Bowling Park,Youth Club in Bowling Park,Combined arts,120,0,01 - General CP activity,0
Little Explorers [Festival of Archaeology],Little Explorers [Festival of Archaeology],Combined arts,220,0,01 - General CP activity,0
Peace Picnics (all parks),Peace Picnics (all parks),Combined arts,146,0,01 - General CP activity,0
Your Best Guess,Your Best Guess,"International,Performance - other",28,0,01 - General CP activity,0
Mega Drawing Box in the Park,Mega Drawing Box in the Park,Combined arts,441,0,01 - General CP activity,0
Wonky Olympics,Wonky Olympics,Combined arts,88,0,01 - General CP activity,0
Health and Wellbeing Day,Health and Wellbeing Day,Combined arts,190,0,01 - General CP activity,0
Kailey,Kailey,Theatre,38,0,01 - General CP activity,0
Say It As It Is (Cliffe Castle),Say It As It Is (Cliffe Castle),Music,10,0,01 - General CP activity,0
Highfield South Asian Celebration,Highfield South Asian Celebration,Combined arts,2549,0,01 - General CP activity,0
FRESH 2025 - Workshops and Matinee Stage Performance,FRESH 2025 - Workshops and Matinee Stage Performance,Engagement,115,0,01 - General CP activity,0
Bradford South Asian Festival : Shadmanny,Bradford South Asian Festival : Shadmanny,Combined arts,447,0,01 - General CP activity,0
Royal Visit ,Royal Visit ,,50,0,01 - General CP activity,0
Art & Play Family Day,Art & Play Family Day,Combined arts,117,0,01 - General CP activity,0
On Yer Bike,On Yer Bike,Exhibition,364,0,01 - General CP activity,0
Creative Summer Social (Cultural Voice Forum),Creative Summer Social (Cultural Voice Forum),Combined arts,441,0,01 - General CP activity,0
Cricket Tournament Awards Ceremony,Cricket Tournament Awards Ceremony,Combined arts,60,0,01 - General CP activity,0
Poetry Takeaway,Poetry Takeaway,Literature,212,0,01 - General CP activity,0
Drag-ford: Drag Cabaret Built in Bradford,Drag-ford: Drag Cabaret Built in Bradford,Performance - other,18,0,01 - General CP activity,0
Re:Born,Re:Born,"Performance - other,Exhibition,Music",9,0,01 - General CP activity,0
Our Turn: Visual Arts Festival,Our Turn: Visual Arts Festival,"Combined arts,Exhibition,Festival,National Collaboration",160,0,01 - General CP activity,0
Sip and Paint with Creative Flare,Sip and Paint with Creative Flare,Combined arts,44,0,01 - General CP activity,0
"Share and Care (Bradford New Church, Frizinghall)","Share and Care (Bradford New Church, Frizinghall)",Combined arts,95,0,01 - General CP activity,0
Little Foodies,Little Foodies,Food / Culinary,948,0,01 - General CP activity,0
Green Family Creative Day,Green Family Creative Day,Combined arts,100,0,01 - General CP activity,0
National Saturday Club,National Saturday Club,Engagement,15,0,01 - General CP activity,0
Qigong and Tai Chi Mid Autumn Moon Festival ,Qigong and Tai Chi Mid Autumn Moon Festival ,Combined arts,123,0,01 - General CP activity,0
Tower of Now - Engagement Strand,Tower of Now - Engagement Strand,,40,0,01 - General CP activity,0
Creative Communities Fund - Bingley Arts Centre,Creative Communities Fund - Bingley Arts Centre,,5000,0,02 - Community Award,0
Creative Communities Fund - RedBobble Arts,Creative Communities Fund - RedBobble Arts,,166,0,02 - Community Award,0
Creative Communities Fund - The Anchor Project,Creative Communities Fund - The Anchor Project,,100,0,02 - Community Award,0
Creative Communities Fund - Impact Gamers CIC,Creative Communities Fund - Impact Gamers CIC,,2400,0,02 - Community Award,0
Creative Communities Fund - Bradford Foundation Trust,Creative Communities Fund - Bradford Foundation Trust,,45,0,02 - Community Award,0
Creative Communities Fund - SNOOP,Creative Communities Fund - SNOOP,,300,0,02 - Community Award,0
Creative Communities Fund - Bradford Friendship Choir,Creative Communities Fund - Bradford Friendship Choir,,400,0,02 - Community Award,0
Creative Communities Fund - Connect the Dots CIC,Creative Communities Fund - Connect the Dots CIC,,30,0,02 - Community Award,0
Creative Communities Fund - Bradford Organic Communities Services (BOCS),Creative Communities Fund - Bradford Organic Communities Services (BOCS),,60,0,02 - Community Award,0
Creative Communities Fund - Keighley Photo Hub,Creative Communities Fund - Keighley Photo Hub,,500,0,02 - Community Award,0
Creative Communities Fund - Bradford South Asian Heritage Forum,Creative Communities Fund - Bradford South Asian Heritage Forum,,500,0,02 - Community Award,0
Creative Communities Fund - Ravenscliffe Community Association,Creative Communities Fund - Ravenscliffe Community Association,,1080,0,02 - Community Award,0
Creative Communities Fund - Inspire Highfield,Creative Communities Fund - Inspire Highfield,,160,0,02 - Community Award,0
Creative Communities Fund - The Romani Foundation,Creative Communities Fund - The Romani Foundation,,38,0,02 - Community Award,0
Creative Communities Fund - Shine (West Bowling),Creative Communities Fund - Shine (West Bowling),,60,0,02 - Community Award,0
Creative Communities Fund - Meridian Centre,Creative Communities Fund - Meridian Centre,,120,0,02 - Community Award,0
Creative Communities Fund - Undercliffe Cemetery Charity,Creative Communities Fund - Undercliffe Cemetery Charity,,300,0,02 - Community Award,0
Creative Communities Fund - E:merge UK Ltd,Creative Communities Fund - E:merge UK Ltd,,700,0,02 - Community Award,0
Creative Communities Fund - Small World Cultural Arts Creative,Creative Communities Fund - Small World Cultural Arts Creative,,160,0,02 - Community Award,0
Creative Communities Fund - Verd de Gris Arts,Creative Communities Fund - Verd de Gris Arts,,5000,0,02 - Community Award,0
Creative Communities Fund - The Valley Project,Creative Communities Fund - The Valley Project,,1000,0,02 - Community Award,0
Creative Communities Fund - Invictus Wellbeing,Creative Communities Fund - Invictus Wellbeing,,1800,0,02 - Community Award,0
"Creative Communities Fund - Marie, Sue and Ian Too","Creative Communities Fund - Marie, Sue and Ian Too",,120,0,02 - Community Award,0
Creative Communities Fund - South Square Centre,Creative Communities Fund - South Square Centre,,830,0,02 - Community Award,0
Creative Communities Fund - West Bowling Youth Initiative,Creative Communities Fund - West Bowling Youth Initiative,,150,0,02 - Community Award,0
Creative Communities Fund - Muslim Womens Council,Creative Communities Fund - Muslim Womens Council,,500,0,02 - Community Award,0
Creative Communities Fund - Spin Arts Ltd,Creative Communities Fund - Spin Arts Ltd,,250,0,02 - Community Award,0
Creative Communities Fund - Yorkshire Life Aquatic CIC,Creative Communities Fund - Yorkshire Life Aquatic CIC,,320,0,02 - Community Award,0
History In The Making - Shared Stories 2025 (AllStar),History In The Making - Shared Stories 2025 (AllStar),,31,0,02 - Community Award,0
History In The Making - Manningham Heritage project (Beap),History In The Making - Manningham Heritage project (Beap),,10,0,02 - Community Award,0
History In The Making - Multi-sensory accessible place marker for the Shipley Glen Tramway (Moor Time),History In The Making - Multi-sensory accessible place marker for the Shipley Glen Tramway (Moor Time),,14,0,02 - Community Award,0
History In The Making - Summat Creative CIC,History In The Making - Summat Creative CIC,,10,0,02 - Community Award,0
Do Your Thing - Anand Milan Elderly Centre,Do Your Thing - Anand Milan Elderly Centre,,85,0,02 - Community Award,0
Do Your Thing - Bingley and District Local History Society,Do Your Thing - Bingley and District Local History Society,,500,0,02 - Community Award,0
Do Your Thing - The Sharing Tree,Do Your Thing - The Sharing Tree,,130,0,02 - Community Award,0
Do Your Thing - The 'Art Moves Kids' Project,Do Your Thing - The 'Art Moves Kids' Project,,50,0,02 - Community Award,0
Do Your Thing - Loosely Bound / Bradford Sketch Club,Do Your Thing - Loosely Bound / Bradford Sketch Club,,30,0,02 - Community Award,0
Do Your Thing - Redbeck Allotment Association,Do Your Thing - Redbeck Allotment Association,,100,0,02 - Community Award,0
Do Your Thing - Shipley Memories Group,Do Your Thing - Shipley Memories Group,,80,0,02 - Community Award,0
Do Your Thing - The City Gent Fanzine,Do Your Thing - The City Gent Fanzine,,3,0,02 - Community Award,0
Do Your Thing - FUNdraising 4U,Do Your Thing - FUNdraising 4U,,156,0,02 - Community Award,0
Do Your Thing - Ravenscliffe Youth Centre,Do Your Thing - Ravenscliffe Youth Centre,,30,0,02 - Community Award,0
Do Your Thing - Denholme Shared Church,Do Your Thing - Denholme Shared Church,,1000,0,02 - Community Award,0
Do Your Thing - Survivor Leaders,Do Your Thing - Survivor Leaders,,9,0,02 - Community Award,0
Do Your Thing - Bradford Black & Brown Queers (BBBQ),Do Your Thing - Bradford Black & Brown Queers (BBBQ),,25,0,02 - Community Award,0
Do Your Thing - Happy Healthy You,Do Your Thing - Happy Healthy You,,3,0,02 - Community Award,0
Do Your Thing - Friends of Heaton Community Orchard,Do Your Thing - Friends of Heaton Community Orchard,,500,0,02 - Community Award,0
Do Your Thing - Burley Arts Collective,Do Your Thing - Burley Arts Collective,,1000,0,02 - Community Award,0
Do Your Thing - Krylati - The Winged Ones,Do Your Thing - Krylati - The Winged Ones,,28,0,02 - Community Award,0
Do Your Thing - Addingham Allotments & Gardens Association,Do Your Thing - Addingham Allotments & Gardens Association,,15,0,02 - Community Award,0
Do Your Thing - Village Pavilion,Do Your Thing - Village Pavilion,,250,0,02 - Community Award,0
Do Your Thing - Sapgate Gardens Association,Do Your Thing - Sapgate Gardens Association,,77,0,02 - Community Award,0
Do Your Thing - Terne Caja,Do Your Thing - Terne Caja,,30,0,02 - Community Award,0
Do Your Thing - Haworth Stitch Group,Do Your Thing - Haworth Stitch Group,,300,0,02 - Community Award,0
Do Your Thing - Sandale Community Development Trust,Do Your Thing - Sandale Community Development Trust,,300,0,02 - Community Award,0
Do Your Thing - Bradford Belles,Do Your Thing - Bradford Belles,,12,0,02 - Community Award,0
Do Your Thing - Ilkley Players,Do Your Thing - Ilkley Players,,140,0,02 - Community Award,0
Do Your Thing - Baildon Civic & Historical Society,Do Your Thing - Baildon Civic & Historical Society,,130,0,02 - Community Award,0
Do Your Thing - Mixed Collective,Do Your Thing - Mixed Collective,,22,0,02 - Community Award,0
Do Your Thing - Nebula Girls Group,Do Your Thing - Nebula Girls Group,,150,0,02 - Community Award,0
Do Your Thing - Harden Players,Do Your Thing - Harden Players,,20,0,02 - Community Award,0
Do Your Thing - Friends of Crag Community Hub,Do Your Thing - Friends of Crag Community Hub,,55,0,02 - Community Award,0
Do Your Thing - Bradford Study Support Network (BSSN),Do Your Thing - Bradford Study Support Network (BSSN),,15,0,02 - Community Award,0
Do Your Thing - Queer South Asian Cafe,Do Your Thing - Queer South Asian Cafe,,30,0,02 - Community Award,0
Do Your Thing - Thornbury Community Development Services (TCDS),Do Your Thing - Thornbury Community Development Services (TCDS),,20,0,02 - Community Award,0
Do Your Thing - Inspire Support Sports Empower (ISSE),Do Your Thing - Inspire Support Sports Empower (ISSE),,50,0,02 - Community Award,0
Do Your Thing - Friends of Myrtle Park,Do Your Thing - Friends of Myrtle Park,,5,0,02 - Community Award,0
Do Your Thing - Lister Community Action Group,Do Your Thing - Lister Community Action Group,,120,0,02 - Community Award,0
Do Your Thing - Bingley Ukulele Group,Do Your Thing - Bingley Ukulele Group,,60,0,02 - Community Award,0
Do Your Thing - Carers Resource,Do Your Thing - Carers Resource,,22,0,02 - Community Award,0
Do Your Thing - Equity Partnership,Do Your Thing - Equity Partnership,,100,0,02 - Community Award,0
Do Your Thing - Topic Folk Club,Do Your Thing - Topic Folk Club,,12,0,02 - Community Award,0
Do Your Thing - Connecting Roma C.I.C,Do Your Thing - Connecting Roma C.I.C,,50,0,02 - Community Award,0
Do Your Thing - Routes to Roots,Do Your Thing - Routes to Roots,,20,0,02 - Community Award,0
Do Your Thing - Bingley Bell Ringers,Do Your Thing - Bingley Bell Ringers,,120,0,02 - Community Award,0
Do Your Thing - Feeding Bradford and Keighley,Do Your Thing - Feeding Bradford and Keighley,,42,0,02 - Community Award,0
Do Your Thing - Our Legacy,Do Your Thing - Our Legacy,,30,0,02 - Community Award,0
Do Your Thing - ToNE (Tamils of North East),Do Your Thing - ToNE (Tamils of North East),,8,0,02 - Community Award,0
Do Your Thing - Holmewood Community Association,Do Your Thing - Holmewood Community Association,,120,0,02 - Community Award,0
Do Your Thing - SEND Salaam & Summat Creative,Do Your Thing - SEND Salaam & Summat Creative,,16,0,02 - Community Award,0
Do Your Thing - TCC Kids Art Club,Do Your Thing - TCC Kids Art Club,,80,0,02 - Community Award,0
Do Your Thing - Wuthering Heights Day,Do Your Thing - Wuthering Heights Day,,500,0,02 - Community Award,0
Girlington Community Centre,Girlington Community Centre,,15,0,03 - Creative Health,0
Creative Health Strand Activity,Creative Health Strand Activity,,438,0,03 - Creative Health,32
Community of Practice (Creative Health),Community of Practice (Creative Health),,349,0,03 - Creative Health,112
Mental Health Engagement Project,Mental Health Engagement Project,,747,0,04 - Mental Health Engagement,0
Mind- Mental Health Awareness Training ,Mind- Mental Health Awareness Training ,Talent Development,0,0,04 - Mental Health Engagement,50
Our Patch - (Beacon) The Big Beacon Family Welcome - Wibsey,Our Patch - (Beacon) The Big Beacon Family Welcome - Wibsey,"Engagement,Combined arts",1232,0,05 - Our Patch,0
Our Patch - (Beacon) Bowling Collective Family Welcome,Our Patch - (Beacon) Bowling Collective Family Welcome,"Combined arts,Engagement",1260,0,05 - Our Patch,0
Our Patch - (Beacon) DRAW & Messy Play sessions ,Our Patch - (Beacon) DRAW & Messy Play sessions ,"Engagement,Combined arts",113,0,05 - Our Patch,0
Our Patch - DRAW Tour Workshops: East,Our Patch - DRAW Tour Workshops: East,Engagement,1209,0,05 - Our Patch,0
Our Patch - Lower Grange Choir Grief Support,Our Patch - Lower Grange Choir Grief Support,Engagement,77,0,05 - Our Patch,0
Our Patch - Delius School,Our Patch - Delius School,Engagement,83,0,05 - Our Patch,0
Our Patch - MAPA Youth Group,Our Patch - MAPA Youth Group,Engagement,51,0,05 - Our Patch,0
Our Patch - DRAW Tour Workshops: Shipley,Our Patch - DRAW Tour Workshops: Shipley,Engagement,779,0,05 - Our Patch,0
Our Patch - Shipley Resource Centre,Our Patch - Shipley Resource Centre,Engagement,25,0,05 - Our Patch,0
Our Patch - Urdu Shurdu ,Our Patch - Urdu Shurdu ,Engagement,51,0,05 - Our Patch,0
Our Patch - Crazy Zebra Crew,Our Patch - Crazy Zebra Crew,Engagement,15,0,05 - Our Patch,0
Our Patch - ACT OUT! ,Our Patch - ACT OUT! ,Engagement,36,0,05 - Our Patch,0
Our Patch - Bagsy the Backseat,Our Patch - Bagsy the Backseat,Engagement,174,0,05 - Our Patch,0
Our Patch - Youth Music at Bolton Community Church,Our Patch - Youth Music at Bolton Community Church,Engagement,32,0,05 - Our Patch,0
Our Patch - MAPA Girls Group ,Our Patch - MAPA Girls Group ,Engagement,193,0,05 - Our Patch,0
Our Patch - Unique Voices ,Our Patch - Unique Voices ,Engagement,20,0,05 - Our Patch,0
Our Patch - Woodroyd Tapestry Project,Our Patch - Woodroyd Tapestry Project,Engagement,102,0,05 - Our Patch,0
Our Patch - The Gateway Centre Weaving Project,Our Patch - The Gateway Centre Weaving Project,Engagement,53,0,05 - Our Patch,0
Our Patch - Possibilities ,Our Patch - Possibilities ,Engagement,42,0,05 - Our Patch,0
Our Patch - The Travelling Spoon ,Our Patch - The Travelling Spoon ,Engagement,12,0,05 - Our Patch,0
Our Patch - Youth Zen Den,Our Patch - Youth Zen Den,Engagement,77,0,05 - Our Patch,0
Our Patch - DRAW Tour Workshops: Keighley & Ilkley,Our Patch - DRAW Tour Workshops: Keighley & Ilkley,Engagement,574,0,05 - Our Patch,0
Our Patch - Dhol Drumming ,Our Patch - Dhol Drumming ,Engagement,16,0,05 - Our Patch,0
Our Patch - Northcliffe Environmental Enterprises Team (NEET),Our Patch - Northcliffe Environmental Enterprises Team (NEET),Engagement,72,0,05 - Our Patch,0
Our Patch - Holmewood Library Mosaic ,Our Patch - Holmewood Library Mosaic ,Engagement,29,0,05 - Our Patch,0
Our Patch - Laisterdyke Women's Tapestry and Craft Group,Our Patch - Laisterdyke Women's Tapestry and Craft Group,Engagement,12,0,05 - Our Patch,0
Our Patch - Denholme Youth Group,Our Patch - Denholme Youth Group,Engagement,21,0,05 - Our Patch,0
Our Patch - Denholme Juniors Youth Group,Our Patch - Denholme Juniors Youth Group,Engagement,15,0,05 - Our Patch,0
Our Patch - Singing for Wellbeing at The Good Shepherd Centre,Our Patch - Singing for Wellbeing at The Good Shepherd Centre,Engagement,66,0,05 - Our Patch,0
Our Patch - DRAW Tour Workshops: West,Our Patch - DRAW Tour Workshops: West,Engagement,521,0,05 - Our Patch,0
Our Patch - St Hugh's Craft Group,Our Patch - St Hugh's Craft Group,Engagement,18,0,05 - Our Patch,0
Our Patch - Windhill Seniors Group,Our Patch - Windhill Seniors Group,Engagement,24,0,05 - Our Patch,0
