geography_code,geography_name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
E01010663,Bradford 050A,9.6,7.5,9.6,6.0,8.5,15.5,20.9,12.5,5.5,2.7,1.7
E01010664,Bradford 049E,5.6,8.5,10.2,6.7,6.0,12.5,19.8,14.9,9.2,4.9,1.8
E01010665,Bradford 050B,8.0,8.0,10.0,5.4,6.2,14.2,23.3,13.6,6.8,3.6,0.9
E01010666,Bradford 050C,10.6,7.7,9.8,7.1,6.3,13.8,19.3,13.3,6.8,2.8,2.3
E01010667,Bradford 050D,9.9,10.3,11.4,6.8,6.7,15.7,20.5,11.5,3.7,1.8,1.7
E01010668,Bradford 055A,6.9,7.8,10.4,5.9,5.5,11.4,19.9,17.1,8.2,4.6,2.3
E01010669,Bradford 030A,8.9,9.1,12.6,7.4,6.3,12.5,21.9,12.1,4.6,3.1,1.4
E01010670,Bradford 029A,6.3,6.1,9.5,8.1,8.3,13.4,20.2,16.5,7.8,2.8,0.9
E01010671,Bradford 029B,8.1,8.1,10.1,5.9,6.3,14.5,21.4,13.4,6.6,3.9,1.6
E01010672,Bradford 036A,5.6,6.6,7.6,5.8,5.1,13.8,19.5,19.6,9.1,5.4,2.0
E01010673,Bradford 029C,8.2,6.7,10.0,8.1,8.9,15.6,22.8,10.8,5.2,1.7,1.9
E01010674,Bradford 030B,9.5,12.8,12.6,7.6,6.6,13.3,23.9,9.4,2.1,1.6,0.6
E01010675,Bradford 029D,5.7,5.5,9.3,7.0,7.2,12.3,19.6,16.0,8.8,5.9,2.8
E01010676,Bradford 034A,7.2,8.3,11.1,7.7,8.5,15.6,21.3,11.5,5.7,2.0,1.1
E01010678,Bradford 036B,8.1,6.6,8.7,4.3,5.1,9.7,19.4,19.1,10.7,6.1,2.3
E01010679,Bradford 034B,5.6,7.6,10.4,7.8,7.0,14.7,20.8,14.2,7.2,3.1,1.7
E01010680,Bradford 019A,10.3,7.7,7.5,3.7,8.1,15.0,17.9,16.7,6.5,4.7,1.7
E01010681,Bradford 019B,6.1,5.7,6.1,3.3,5.0,12.1,17.7,24.8,12.8,4.3,2.2
E01010682,Bradford 019C,5.2,7.5,6.2,4.7,4.1,12.3,18.6,20.7,12.6,5.2,2.8
E01010683,Bradford 017A,6.5,4.4,5.3,2.6,5.3,19.1,21.4,22.4,8.9,2.9,1.1
E01010684,Bradford 017B,6.7,4.6,6.8,5.2,3.5,9.5,18.1,24.3,12.3,6.4,2.6
E01010685,Bradford 017C,5.3,5.1,7.4,3.1,3.6,10.7,20.2,22.1,11.8,8.0,2.6
E01010686,Bradford 017D,4.4,4.9,6.7,3.7,4.4,8.9,19.4,21.6,12.3,9.9,3.8
E01010687,Bradford 019D,5.4,5.6,8.3,4.0,3.6,12.3,22.1,24.1,9.5,3.6,1.6
E01010688,Bradford 019E,6.0,5.8,7.5,3.0,5.5,15.4,22.1,20.1,7.3,4.2,3.2
E01010689,Bradford 019F,5.5,5.2,6.6,4.0,4.9,19.0,20.1,20.7,7.6,4.5,1.9
E01010690,Bradford 019G,3.7,5.1,6.4,4.5,4.5,12.0,19.1,21.7,13.4,7.3,2.4
E01010691,Bradford 002A,3.1,5.6,9.4,4.4,2.5,3.9,17.2,24.7,13.5,10.6,5.1
E01010692,Bradford 001D,1.9,3.7,5.8,4.5,2.9,4.1,17.0,25.6,14.2,12.7,7.6
E01010693,Bradford 002B,4.5,5.1,8.5,4.0,2.8,5.3,16.6,21.7,15.2,10.5,5.6
E01010694,Bradford 002C,2.7,4.3,8.0,4.3,4.2,3.7,14.5,22.8,17.7,12.9,4.9
E01010695,Bradford 002D,3.0,2.6,6.2,3.3,4.1,10.8,16.1,22.7,11.8,10.4,9.0
E01010696,Bradford 002E,4.0,6.7,8.6,5.6,2.7,6.2,20.5,22.3,11.2,8.1,4.1
E01010697,Bradford 002F,3.2,4.3,7.4,3.6,2.1,6.5,14.3,23.0,15.9,11.9,7.8
E01010698,Bradford 002G,3.5,4.8,7.3,3.0,4.0,12.3,18.7,20.2,9.3,10.7,6.2
E01010699,Bradford 002H,3.9,7.4,8.9,5.1,3.7,8.4,19.9,19.1,11.1,7.9,4.7
E01010700,Bradford 008A,11.4,8.1,10.7,7.2,8.0,16.1,21.4,10.7,3.9,1.5,1.1
E01010701,Bradford 008B,9.4,8.3,12.3,8.5,7.0,15.3,20.7,9.6,6.2,1.5,1.0
E01010702,Bradford 008C,7.3,8.7,11.3,8.3,8.6,15.0,20.6,9.4,6.8,2.6,1.6
E01010703,Bradford 008D,7.4,7.7,8.6,5.1,5.4,14.1,20.0,16.6,8.6,4.2,2.2
E01010704,Bradford 008E,6.1,6.6,8.2,4.4,3.8,14.5,19.6,20.0,10.5,5.1,1.3
E01010705,Bradford 008F,4.5,6.7,7.1,4.8,4.2,9.8,17.6,21.3,13.2,8.5,2.3
E01010706,Bradford 006A,3.2,4.4,6.7,5.1,3.4,7.9,16.6,27.6,14.3,7.8,3.1
E01010707,Bradford 006B,4.4,5.9,6.5,3.1,4.4,12.4,18.2,23.7,12.1,6.6,2.7
E01010708,Bradford 006C,7.0,7.8,8.1,5.2,4.7,13.2,19.0,19.7,9.5,4.4,1.5
E01010709,Bradford 006D,4.7,7.0,9.2,4.7,5.1,9.1,21.7,18.9,11.5,6.0,2.1
E01010710,Bradford 008G,5.2,7.0,8.5,5.2,8.0,20.0,20.2,17.7,5.2,2.2,0.6
E01010711,Bradford 011A,6.6,4.3,4.4,5.2,8.9,14.7,20.1,16.6,11.4,5.5,2.3
E01010712,Bradford 009A,6.6,10.5,14.5,8.9,7.2,14.9,22.3,9.4,3.3,1.8,0.6
E01010713,Bradford 011B,5.7,10.2,10.9,4.3,4.2,15.3,17.9,17.0,7.4,5.6,1.5
E01010714,Bradford 011C,6.2,7.4,7.4,3.7,7.8,13.7,19.0,18.9,9.0,5.4,1.2
E01010715,Bradford 012A,5.8,6.0,8.2,4.6,5.9,10.4,16.4,22.2,12.9,5.0,2.5
E01010716,Bradford 011D,6.0,6.9,7.0,3.7,4.7,15.0,19.1,22.2,10.1,4.4,0.9
E01010717,Bradford 012B,8.5,7.6,8.7,4.5,5.7,14.8,18.0,17.5,8.8,4.0,1.9
E01010718,Bradford 012C,7.3,9.7,8.6,5.2,5.1,11.9,18.0,21.0,8.2,3.8,1.1
E01010719,Bradford 007A,8.1,9.1,14.8,7.9,6.9,12.8,20.2,10.9,5.9,1.9,1.5
E01010720,Bradford 009B,7.5,9.2,10.9,4.6,5.2,13.1,19.1,17.8,8.2,3.4,1.0
E01010721,Bradford 009C,7.9,8.4,8.9,3.9,6.1,15.4,18.2,17.7,7.4,4.8,1.2
E01010722,Bradford 014A,6.5,7.8,9.7,5.6,4.3,12.7,18.8,18.9,9.4,5.0,1.3
E01010723,Bradford 009D,8.6,9.6,11.3,7.5,7.1,16.3,22.7,9.4,4.1,2.8,0.6
E01010724,Bradford 009E,5.3,6.8,10.2,4.5,5.8,11.7,21.0,18.9,7.3,5.2,3.2
E01010725,Bradford 009F,5.2,7.0,7.4,4.4,6.3,13.3,19.0,20.9,8.5,5.7,2.3
E01010726,Bradford 012D,5.0,5.0,5.7,4.1,4.2,12.4,14.8,24.9,11.7,9.0,3.3
E01010727,Bradford 007B,4.2,4.8,5.9,4.2,5.1,10.5,19.6,22.0,13.5,7.6,2.5
E01010728,Bradford 007C,7.5,7.9,11.8,7.7,7.1,14.0,20.5,12.5,6.1,3.0,2.0
E01010729,Bradford 007D,5.2,5.5,10.0,6.6,6.3,10.6,17.6,14.9,9.3,8.0,6.0
E01010730,Bradford 045C,6.6,6.2,6.7,3.3,4.2,17.3,23.1,19.2,8.2,4.5,0.7
E01010731,Bradford 048A,8.2,7.7,9.9,4.1,11.3,20.4,20.2,10.9,4.1,2.0,1.2
E01010732,Bradford 048B,6.8,9.0,15.4,9.8,7.4,13.2,21.3,11.0,4.1,1.7,0.3
E01010733,Bradford 048C,5.8,7.5,8.8,7.9,9.6,14.4,20.7,15.3,5.2,3.2,1.6
E01010734,Bradford 045D,12.1,8.9,11.2,7.2,6.4,15.5,20.5,12.6,3.9,1.4,0.2
E01010735,Bradford 051A,8.6,8.3,13.7,9.4,11.0,12.4,19.6,12.0,3.3,1.5,0.1
E01010736,Bradford 048D,12.8,11.9,13.1,6.3,5.7,15.5,21.3,9.7,2.3,1.1,0.3
E01010737,Bradford 048E,11.6,8.0,11.0,5.2,10.0,15.3,19.2,11.4,5.6,2.0,0.7
E01010738,Bradford 051B,6.4,9.9,12.9,9.6,7.4,12.1,23.7,12.1,3.7,1.7,0.5
E01010739,Bradford 051C,9.6,11.0,13.5,10.6,6.7,11.1,21.1,10.0,3.6,2.0,0.7
E01010740,Bradford 051D,6.7,7.9,11.8,8.6,8.3,14.5,21.1,12.3,5.2,2.4,1.2
E01010741,Bradford 059A,4.8,5.8,6.7,3.8,5.5,11.4,16.1,25.4,12.1,5.9,2.5
E01010742,Bradford 053C,8.5,9.9,13.3,10.2,8.0,13.4,20.5,10.4,4.0,1.3,0.4
E01010743,Bradford 053D,6.7,7.4,10.8,6.1,9.6,13.5,21.7,16.7,5.1,1.5,0.9
E01010744,Bradford 051E,7.8,9.8,12.6,7.5,8.0,14.5,21.5,12.2,3.9,1.6,0.6
E01010745,Bradford 056A,8.0,9.6,12.9,6.8,8.3,12.8,22.7,12.2,3.7,2.1,0.9
E01010746,Bradford 060A,5.6,6.7,7.1,4.8,5.1,12.6,16.7,20.4,11.7,7.2,2.2
E01010747,Bradford 056B,5.3,5.5,9.1,6.2,7.7,11.6,18.8,19.0,9.3,5.0,2.5
E01010748,Bradford 056C,7.9,8.0,9.0,4.9,5.4,11.9,17.9,19.0,10.3,4.0,1.8
E01010749,Bradford 056D,6.0,7.6,8.2,3.9,4.6,10.2,19.0,22.4,10.2,6.3,1.5
E01010750,Bradford 060B,5.2,5.2,5.9,3.6,5.1,12.6,17.1,22.3,12.6,7.2,3.1
E01010751,Bradford 060C,4.4,4.5,6.0,4.1,5.2,11.9,15.0,23.0,13.3,9.0,3.6
E01010752,Bradford 058A,7.2,6.3,8.0,4.1,5.2,15.6,20.4,20.7,7.1,4.5,1.0
E01010753,Bradford 058B,4.3,4.1,6.0,2.9,3.6,12.3,14.1,21.5,16.3,11.8,3.0
E01010754,Bradford 058C,4.7,5.9,6.9,5.1,5.5,12.3,20.0,24.2,8.1,4.4,2.8
E01010755,Bradford 055B,10.5,10.5,10.7,4.1,5.1,19.4,20.7,12.8,4.1,1.8,0.4
E01010756,Bradford 058D,6.6,5.8,7.5,4.0,5.8,16.2,20.3,20.5,8.7,3.3,1.3
E01010758,Bradford 058E,6.0,5.3,7.3,4.2,4.6,11.4,19.3,27.8,10.0,3.2,1.2
E01010759,Bradford 058F,7.3,5.5,6.7,3.5,6.4,13.7,16.9,20.6,10.9,6.2,2.3
E01010760,Bradford 058G,5.3,6.4,8.9,4.8,4.1,10.3,20.8,23.9,10.4,3.9,1.2
E01010761,Bradford 049G,4.8,6.5,9.4,5.3,5.5,12.3,18.6,19.0,10.2,5.4,3.0
E01010762,Bradford 055C,6.9,7.0,8.7,6.6,6.5,13.6,20.4,18.7,5.8,4.2,1.6
E01010763,Bradford 055D,6.6,6.6,8.5,5.8,3.9,12.9,18.7,17.2,10.2,5.5,4.0
E01010764,Bradford 010C,3.3,5.5,6.6,3.6,3.8,6.0,17.1,25.0,15.7,9.8,3.6
E01010765,Bradford 010D,5.0,5.6,6.1,2.9,3.4,12.1,18.2,22.3,13.8,7.7,2.9
E01010766,Bradford 010E,3.6,5.5,7.0,2.8,3.4,6.0,18.1,23.1,18.6,9.0,2.9
E01010767,Bradford 003A,4.8,5.9,9.5,4.3,3.5,7.0,19.8,19.9,12.7,8.6,4.2
E01010768,Bradford 003B,5.0,6.9,8.1,5.3,3.3,7.4,19.2,26.0,9.8,7.2,1.9
E01010769,Bradford 003C,5.5,5.2,6.9,3.3,2.7,12.3,21.3,20.4,11.7,6.5,4.1
E01010770,Bradford 005A,4.5,7.2,9.4,4.6,3.4,5.1,21.3,23.8,12.5,5.9,2.2
E01010771,Bradford 003D,4.6,6.0,7.5,3.5,3.1,7.6,19.2,19.8,15.5,9.1,4.1
E01010772,Bradford 005B,4.9,5.7,8.5,4.2,2.5,5.7,18.3,22.2,13.5,8.9,5.7
E01010773,Bradford 005C,4.4,6.3,8.5,3.6,3.6,8.5,21.1,21.8,12.2,6.9,3.1
E01010774,Bradford 005D,4.6,5.6,6.1,2.8,3.1,11.0,18.0,21.2,13.8,9.5,4.4
E01010775,Bradford 024D,5.2,5.6,7.8,3.9,5.5,13.9,17.7,21.1,10.5,6.4,2.4
E01010776,Bradford 021A,5.4,6.8,8.8,5.2,5.8,12.4,20.1,19.8,10.2,4.5,1.0
E01010777,Bradford 021B,7.7,5.8,6.0,2.9,9.0,17.9,19.1,19.6,8.4,2.6,1.0
E01010778,Bradford 024E,8.9,8.0,7.9,5.5,6.6,15.0,20.5,16.5,6.6,3.8,0.7
E01010779,Bradford 021C,8.0,7.8,5.3,3.3,4.2,15.5,18.1,18.0,10.4,6.7,2.8
E01010781,Bradford 021D,6.2,7.5,10.1,5.1,3.7,15.3,19.7,19.7,7.6,3.7,1.3
E01010782,Bradford 020B,7.1,7.7,7.5,3.9,6.1,17.1,23.6,16.7,6.0,3.0,1.6
E01010783,Bradford 021E,5.8,5.8,6.5,4.3,5.3,12.7,17.5,21.4,12.0,6.0,2.7
E01010784,Bradford 018C,5.1,5.6,7.0,3.8,3.4,17.4,24.2,18.6,9.2,4.5,1.1
E01010785,Bradford 018D,4.5,3.8,4.8,3.1,3.1,18.8,21.4,19.5,10.4,6.2,4.5
E01010786,Bradford 018E,4.1,7.4,8.8,5.0,4.0,7.7,20.4,18.5,10.3,8.3,5.5
E01010787,Bradford 020C,5.3,5.2,7.2,3.8,3.3,9.7,20.3,22.2,10.7,7.6,4.7
E01010788,Bradford 020D,4.9,5.9,7.5,4.7,4.5,13.3,21.5,19.3,9.8,5.4,3.1
E01010789,Bradford 025A,5.7,7.7,10.1,7.0,7.0,12.7,22.4,14.9,6.6,3.9,2.1
E01010790,Bradford 018F,6.5,6.9,7.7,4.6,3.7,10.3,20.4,18.0,12.0,7.0,2.7
E01010791,Bradford 025B,6.1,7.2,9.8,6.0,7.5,12.7,20.9,16.1,7.4,3.3,3.0
E01010792,Bradford 025C,6.7,8.8,10.6,9.0,6.7,13.2,21.0,14.8,5.8,2.2,1.1
E01010793,Bradford 025D,8.0,7.4,8.7,8.0,7.7,16.7,18.4,15.6,5.8,3.0,0.8
E01010794,Bradford 043A,5.3,6.3,8.6,4.2,3.8,10.8,18.8,17.9,12.0,8.3,4.0
E01010795,Bradford 043B,5.0,6.9,7.8,4.9,4.5,11.7,21.4,22.7,10.2,3.8,1.2
E01010796,Bradford 043C,5.6,7.3,8.5,5.3,3.8,10.3,19.4,20.3,12.1,6.0,1.4
E01010797,Bradford 043D,5.4,5.4,7.1,3.9,4.6,10.6,19.6,25.4,12.5,4.8,0.8
E01010798,Bradford 043E,4.7,6.6,7.6,3.9,4.0,13.8,18.1,22.0,10.2,6.9,2.2
E01010799,Bradford 036C,7.0,8.1,7.9,4.8,5.0,12.0,18.7,19.5,10.2,4.6,2.3
E01010800,Bradford 036D,7.6,9.3,12.8,5.0,6.4,10.6,20.9,15.6,7.0,3.7,1.0
E01010801,Bradford 036E,8.0,8.7,10.6,6.6,6.9,13.2,21.6,14.1,5.1,3.2,2.0
E01010802,Bradford 036F,10.7,8.2,11.0,5.3,5.2,17.2,19.5,13.9,5.0,2.6,1.4
E01010803,Bradford 037A,10.7,8.5,9.4,6.7,8.9,15.8,22.7,10.7,4.1,1.8,0.9
E01010804,Bradford 033A,7.1,7.9,9.8,6.8,8.8,16.3,20.1,13.5,6.2,2.4,1.0
E01010805,Bradford 030D,7.9,8.7,8.7,6.8,8.6,13.9,21.7,12.8,5.9,2.8,2.2
E01010806,Bradford 033B,8.3,5.8,9.6,9.6,8.4,13.6,20.2,15.0,5.4,2.3,1.7
E01010807,Bradford 033C,8.2,6.9,7.3,5.5,11.1,20.8,18.6,12.0,6.3,2.5,0.9
E01010808,Bradford 033D,7.6,9.9,13.0,8.6,7.9,14.5,21.7,11.1,3.2,1.9,0.6
E01010809,Bradford 033E,7.3,7.1,11.0,8.5,9.6,14.2,20.4,12.4,6.3,2.2,0.9
E01010810,Bradford 037B,7.3,7.6,13.5,8.3,8.3,13.0,23.2,11.4,3.9,2.6,0.9
E01010811,Bradford 037C,8.7,10.3,12.5,8.6,7.4,13.8,23.4,9.9,3.1,1.5,0.8
E01010812,Bradford 041B,10.5,9.0,12.5,6.7,7.3,16.7,20.1,11.7,3.8,1.4,0.3
