project_name,2023-11-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
It's Your Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jungle Book ReImagined - Akram Khan Company,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
La Haine – Live,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lady Bushra (supporting Ginger),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lady Maisery / O'Hooley & Tidow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Language: No Broblem - Shubbak Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Launchpad Music Industry Careers Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Lay Down Your Burdens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Les Enfants Terribles - A Gameshow for Awful Children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Les Girafes,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Let's Make,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
Little Wimmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Loaded Laughs (#1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Loaded Laughs (#2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Loud and Proud Dohl Drumming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Meet Our Mothers,0,0,0,0,0,0,0,0,0,0,1,6,0,3,0,8,6,0,0,0
Multicultural Pentecost Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Museums for Play and Growth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nadine Shah @ St. Georges Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nationhood: Memory and Hope,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,22,23,0,0,0
New Focus: Bradford Young Curators,0,0,0,0,0,3,5,3,2,2,1,0,0,1,1,2,2,1,3,3
New Music Biennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
Northern Soul (Clio Barnard),0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0
Osman Scuplture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Our Patch,0,0,0,0,0,0,0,0,0,0,0,0,0,30,51,84,99,158,0,0
PLAY Facilitators @ Beacon (all),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0
PLAY: Alive & Kicking Drama Adventures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PLAY: Escape Room Design Challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PLAY: Grue,0,0,0,0,0,0,0,0,0,0,0,2,4,7,290,0,0,0,0,0
PLAY: Intergenerational Play,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,13,8,19,33,1
PLAY: Playable Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PLAY: Red Ball Project (WOW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
PLAY: The Great Adventure Build with Woodland Tribe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0
Palettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Peace Picnics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Penguin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Pictureville Screenings,0,0,0,0,0,0,0,0,0,0,0,0,0,150,106,137,188,130,0,0
Pictureville Screenings - 'Brought to Life' Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Pictureville Screenings - Cine Spotlights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Pictureville Screenings - Film4 Curated Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pictureville Screenings - Northern Youth Film Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
Pictureville Screenings - Time and Place (Invisible Women),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Pop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pop Up Family Pride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Programme Launch (Sept 12th event),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
