project_name,2023-07-01,2023-11-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01
Sponsorship - Sports Awards,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
Sponsorship - Super Soapbox Challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0
Sponsorship - YABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0
Sponsorship - Yorkshire Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
Street Choirs Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0
TCF Artist Residency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tech Styles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Creative Summit - Investment in West Yorkshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bradford Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10668,0,0,0,0,0,0,0,0,0
The Ceremony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dreams I Had: Andrea Dunbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0
The Local,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The People Powered Press,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Railway Children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2156,3174,677,32,9,6,4,6
Tour the Writer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tower of Now,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tower of Now (capital project),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42857,42857,42857,42857,42857,42857,0,42857,0,0,0
Turner Prize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4562,15496,8179,6985,7714,0
University of Bradford Programme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,220,0,0,0,0,0,0,0,0
Unseen by Ascendance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veiled Reality by Imran Ali (Carbon Imagineering),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wandering Imaginations,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,11797,977,0,0,0,0
We Will Sing,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,33403,0,0,0,0,0,0,0,0,0
Where It Began – Osman Yousefzada,0,0,0,0,0,0,68443,20833,20833,20833,20833,0,23670,22416,23931,26059,58965,23803,26447,22833,28369,23559,36663,0,0,0,0,0
Wild Uplands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,10000,10097,10000,10000,10000,5900,0,0,0,0,0
World Piano Day 2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyke Dragons - Tim Curtis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
YOU:MATTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7451,5561,4983,4131,7348,4287,0,7104,1865,3342,0
You:Matter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youth Pass Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zee and the City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0
