datestamp,estimated_actual_footfall
2019-05-11,606356
2019-05-12,481549
2019-05-13,657854
2019-05-14,673500
2019-05-15,636999
2019-05-16,703030
2019-05-17,852053
2019-05-18,826128
2019-05-19,688663
2019-05-20,770172
2019-05-21,682926
2019-05-22,771588
2019-05-23,688941
2019-05-24,698674
2019-05-25,662201
2019-05-26,725980
2019-05-27,700257
2019-05-28,677254
2019-05-29,675797
2019-05-30,661631
2019-05-31,754937
2019-06-01,784627
2019-06-02,751002
2019-06-03,752174
2019-06-04,682954
2019-06-05,681964
2019-06-06,656092
2019-06-07,652066
2019-06-08,610569
2019-06-09,622952
2019-06-10,635075
2019-06-11,668175
2019-06-12,784641
2019-06-13,621980
2019-06-14,760154
2019-06-15,658700
2019-06-16,719264
2019-06-17,619848
2019-06-18,735236
2019-06-19,671561
2019-06-20,755386
2019-06-21,771972
2019-06-22,750651
2019-06-23,764451
2019-06-24,679100
2019-06-25,753815
2019-06-26,725775
2019-06-27,831614
2019-06-28,816056
2019-06-29,795731
2019-06-30,761008
2019-07-01,787991
2019-07-02,704951
2019-07-03,656982
2019-07-04,753399
2019-07-05,708598
2019-07-06,808617
2019-07-07,719864
2019-07-08,748446
2019-07-09,732280
2019-07-10,786291
2019-07-11,807255
2019-07-12,735071
2019-07-13,743504
2019-07-14,723087
2019-07-15,736265
2019-07-16,777679
2019-07-17,868436
2019-07-18,831798
2019-07-19,745644
2019-07-20,748934
2019-07-21,762087
2019-07-22,827854
2019-07-23,828562
2019-07-24,763833
2019-07-25,756676
2019-07-26,718104
2019-07-27,661192
2019-07-28,648466
2019-07-29,757350
2019-07-30,792305
2019-07-31,764404
2019-08-01,732062
2019-08-02,737925
2019-08-03,693236
2019-08-04,736617
2019-08-05,732448
2019-08-06,748451
2019-08-07,792005
2019-08-08,819268
2019-08-09,882423
2019-08-10,822363
2019-08-11,785539
2019-08-12,921993
2019-08-13,865853
2019-08-14,905371
2019-08-15,806612
2019-08-16,829282
2019-08-17,730078
2019-08-18,741533
2019-08-19,893987
2019-08-20,902204
2019-08-21,835446
2019-08-22,684018
2019-08-23,880493
2019-08-24,746826
2019-08-25,707429
2019-08-26,840177
2019-08-27,864530
2019-08-28,850958
2019-08-29,848150
2019-08-30,831664
2019-08-31,861039
2019-09-01,751335
2019-09-02,755932
2019-09-03,725488
2019-09-04,747358
2019-09-05,658940
2019-09-06,720839
2019-09-07,633709
2019-09-08,674451
2019-09-09,676626
2019-09-10,647893
2019-09-11,694801
2019-09-12,709497
2019-09-13,651193
2019-09-14,585541
2019-09-15,613894
2019-09-16,603444
2019-09-17,697046
2019-09-18,654615
2019-09-19,715832
2019-09-20,700066
2019-09-21,639137
2019-09-22,595611
2019-09-23,601920
2019-09-24,639293
2019-09-25,644664
2019-09-26,677683
2019-09-27,718386
2019-09-28,664459
2019-09-29,734736
2019-09-30,672726
2019-10-01,692777
2019-10-02,640914
2019-10-03,628519
2019-10-04,615054
2019-10-05,613766
2019-10-06,589021
2019-10-07,593218
2019-10-08,653647
2019-10-09,611222
2019-10-10,671579
2019-10-11,627963
2019-10-12,561481
2019-10-13,645112
2019-10-14,683728
2019-10-15,744343
2019-10-16,678115
2019-10-17,763464
2019-10-18,739955
2019-10-19,782055
2019-10-20,767930
2019-10-21,700209
2019-10-22,756546
2019-10-23,720988
2019-10-24,812733
2019-10-25,838803
2019-10-26,777947
2019-10-27,834085
2019-10-28,742805
2019-10-29,723237
2019-10-30,655321
2019-10-31,702835
2019-11-01,741403
2019-11-02,657467
2019-11-03,720976
2019-11-04,634899
2019-11-05,635213
2019-11-06,620783
2019-11-07,671555
2019-11-08,651942
2019-11-09,640636
2019-11-10,630920
2019-11-11,655993
2019-11-12,664204
2019-11-13,569326
2019-11-14,564726
2019-11-15,591073
2019-11-16,631412
2019-11-17,607387
2019-11-18,624846
2019-11-19,600738
2019-11-20,606059
2019-11-21,658263
2019-11-22,628866
2019-11-23,587882
2019-11-24,602339
2019-11-25,595587
2019-11-26,636047
2019-11-27,675156
2019-11-28,676472
2019-11-29,724233
2019-11-30,662182
2019-12-01,674375
2019-12-02,755917
2019-12-03,750473
2019-12-04,649966
2019-12-05,646662
2019-12-06,662630
2019-12-07,632256
2019-12-08,640669
2019-12-09,629495
2019-12-10,649191
2019-12-11,624623
2019-12-12,583409
2019-12-13,628945
2019-12-14,611690
2019-12-15,601308
2019-12-16,644284
2019-12-17,603404
2019-12-18,658137
2019-12-19,630535
2019-12-20,649501
2019-12-21,663798
2019-12-22,658248
2019-12-23,650656
2019-12-24,681183
2019-12-25,618318
2019-12-26,615682
2019-12-27,668934
2019-12-28,656354
2019-12-29,620494
2019-12-30,607838
2019-12-31,629925
2020-01-01,579529
2020-01-02,611019
2020-01-03,608264
2020-01-04,605517
2020-01-05,599414
2020-01-06,622556
2020-01-07,618892
2020-01-08,609776
2020-01-09,603313
2020-01-10,629112
2020-01-11,589714
2020-01-12,569027
2020-01-13,622356
2020-01-14,605081
2020-01-15,578059
2020-01-16,582254
2020-01-17,619748
2020-01-18,634789
2020-01-19,558922
2020-01-20,603543
2020-01-21,609890
2020-01-22,648753
2020-01-23,640595
2020-01-24,611360
2020-01-25,633571
2020-01-26,603008
2020-01-27,622635
2020-01-28,657367
2020-01-29,654751
2020-01-30,643935
2020-01-31,669499
2020-02-01,656196
2020-02-02,640074
2020-02-03,652665
2020-02-04,641814
2020-02-05,650518
2020-02-06,659576
2020-02-07,634758
2020-02-08,660928
2020-02-09,581369
2020-02-10,639448
2020-02-11,626080
2020-02-12,622104
2020-02-13,601684
2020-02-14,643617
2020-02-15,616299
2020-02-16,564049
2020-02-17,624062
2020-02-18,636609
2020-02-19,630693
2020-02-20,643284
2020-02-21,634094
2020-02-22,629647
2020-02-23,616544
2020-02-24,655859
2020-02-25,632690
2020-02-26,668524
2020-02-27,657959
2020-02-28,657392
2020-02-29,635083
2020-03-01,614322
2020-03-02,640473
2020-03-03,612415
2020-03-04,635950
2020-03-05,639533
2020-03-06,684055
2020-03-07,600073
2020-03-08,617031
2020-03-09,643615
2020-03-10,633895
2020-03-11,650583
2020-03-12,661668
2020-03-13,673272
2020-03-14,609549
2020-03-15,622810
2020-03-16,645002
2020-03-17,634171
2020-03-18,617111
2020-03-19,639620
2020-03-20,656402
2020-03-21,600972
2020-03-22,632225
2020-03-23,638780
2020-03-24,554999
2020-03-25,541459
2020-03-26,559033
2020-03-27,545166
2020-03-28,511887
2020-03-29,521163
2020-03-30,540425
2020-03-31,531659
2020-04-01,536569
2020-04-02,514070
2020-04-03,531918
2020-04-04,488897
2020-04-05,491948
2020-04-06,472136
2020-04-07,483191
2020-04-08,528769
2020-04-09,527131
2020-04-10,534403
2020-04-11,534881
2020-04-12,524036
2020-04-13,522320
2020-04-14,553288
2020-04-15,540923
2020-04-16,523022
2020-04-17,560887
2020-04-18,519149
2020-04-19,510757
2020-04-20,525070
2020-04-21,564176
2020-04-22,557503
2020-04-23,559585
2020-04-24,576901
2020-04-25,504914
2020-04-26,531437
2020-04-27,572752
2020-04-28,559173
2020-04-29,565075
2020-04-30,540212
2020-05-01,542711
2020-05-02,519028
2020-05-03,520933
2020-05-04,508880
2020-05-05,501385
2020-05-06,540178
2020-05-07,552333
2020-05-08,542416
2020-05-09,505897
2020-05-10,458448
2020-05-11,489619
2020-05-12,524343
2020-05-13,506941
2020-05-14,558742
2020-05-15,581124
2020-05-16,558233
2020-05-17,563822
2020-05-18,578138
2020-05-19,556799
2020-05-20,571153
2020-05-21,577520
2020-05-22,542237
2020-05-23,557212
2020-05-24,537422
2020-05-25,560602
2020-05-26,587664
2020-05-27,569122
2020-05-28,576089
2020-05-29,587214
2020-05-30,547117
2020-05-31,560326
2020-06-01,573322
2020-06-02,562246
2020-06-03,551991
2020-06-04,558965
2020-06-05,544903
2020-06-06,564300
2020-06-07,569670
2020-06-08,570534
2020-06-09,575814
2020-06-10,545830
2020-06-11,569293
2020-06-12,544950
2020-06-13,512799
2020-06-14,537134
2020-06-15,546463
2020-06-16,530659
2020-06-17,556721
2020-06-18,571648
2020-06-19,567512
2020-06-20,578800
2020-06-21,533229
2020-06-22,528841
2020-06-23,553204
2020-06-24,549622
2020-06-25,572953
2020-06-26,581434
2020-06-27,548365
2020-06-28,543632
2020-06-29,556759
2020-06-30,567508
2020-07-01,561321
2020-07-02,586381
2020-07-03,603582
2020-07-04,579221
2020-07-05,568545
2020-07-06,596328
2020-07-07,604034
2020-07-08,599214
2020-07-09,597621
2020-07-10,601900
2020-07-11,576914
2020-07-12,601617
2020-07-13,621253
2020-07-14,611378
2020-07-15,616563
2020-07-16,616826
2020-07-17,636199
2020-07-18,601137
2020-07-19,602720
2020-07-20,631355
2020-07-21,624941
2020-07-22,581619
2020-07-23,647701
2020-07-24,637850
2020-07-25,603400
2020-07-26,599790
2020-07-27,611810
2020-07-28,615775
2020-07-29,627280
2020-07-30,647842
2020-07-31,631941
2020-08-01,610374
2020-08-02,627943
2020-08-03,629194
2020-08-04,628481
2020-08-05,592065
2020-08-06,635616
2020-08-07,628913
2020-08-08,619008
2020-08-09,617932
2020-08-10,630519
2020-08-11,567200
2020-08-12,606265
2020-08-13,601359
2020-08-14,629705
2020-08-15,638985
2020-08-16,612729
2020-08-17,636900
2020-08-18,642683
2020-08-19,653828
2020-08-20,662195
2020-08-21,634481
2020-08-22,633234
2020-08-23,630462
2020-08-24,653471
2020-08-25,649667
2020-08-26,670146
2020-08-27,636277
2020-08-28,651985
2020-08-29,648305
2020-08-30,618956
2020-08-31,634209
2020-09-01,629115
2020-09-02,646084
2020-09-03,628014
2020-09-04,660724
2020-09-05,611300
2020-09-06,622300
2020-09-07,628031
2020-09-08,643600
2020-09-09,636948
2020-09-10,603015
2020-09-11,608427
2020-09-12,606894
2020-09-13,591131
2020-09-14,609023
2020-09-15,604531
2020-09-16,596637
2020-09-17,615720
2020-09-18,628046
2020-09-19,613230
2020-09-20,589910
2020-09-21,607314
2020-09-22,602005
2020-09-23,603141
2020-09-24,576189
2020-09-25,617946
2020-09-26,592752
2020-09-27,590291
2020-09-28,607505
2020-09-29,613275
2020-09-30,609235
2020-10-01,604361
2020-10-02,584513
2020-10-03,551841
2020-10-04,533969
2020-10-05,588050
2020-10-06,589603
2020-10-07,605604
2020-10-08,610974
2020-10-09,602062
2020-10-10,584747
2020-10-11,564193
2020-10-12,592144
2020-10-13,601901
2020-10-14,602486
2020-10-15,605488
2020-10-16,596124
2020-10-17,574653
2020-10-18,565193
2020-10-19,604934
2020-10-20,589757
2020-10-21,603936
2020-10-22,600446
2020-10-23,570103
2020-10-24,557612
2020-10-25,550363
2020-10-26,605859
2020-10-27,600651
2020-10-28,579909
2020-10-29,602217
2020-10-30,610822
2020-10-31,558277
2020-11-01,549328
2020-11-02,599464
2020-11-03,588764
2020-11-04,595698
2020-11-05,585968
2020-11-06,587695
2020-11-07,543003
2020-11-08,529660
2020-11-09,570979
2020-11-10,566614
2020-11-11,583535
2020-11-12,579036
2020-11-13,585774
2020-11-14,540303
2020-11-15,535192
2020-11-16,587987
2020-11-17,576834
2020-11-18,585991
2020-11-19,592092
2020-11-20,603097
2020-11-21,559230
2020-11-22,533529
2020-11-23,573499
2020-11-24,594191
2020-11-25,579008
2020-11-26,591136
2020-11-27,601037
2020-11-28,567099
2020-11-29,529412
2020-11-30,599708
2020-12-01,595247
2020-12-02,580748
2020-12-03,600088
2020-12-04,609631
2020-12-05,575177
2020-12-06,546034
2020-12-07,597895
2020-12-08,586691
2020-12-09,617949
2020-12-10,591624
2020-12-11,584288
2020-12-12,548819
2020-12-13,536788
2020-12-14,590726
2020-12-15,601793
2020-12-16,594069
2020-12-17,574138
2020-12-18,598677
2020-12-19,565978
2020-12-20,563750
2020-12-21,610581
2020-12-22,586387
2020-12-23,603203
2020-12-24,586596
2020-12-25,534869
2020-12-26,518738
2020-12-27,553320
2020-12-28,537943
2020-12-29,546766
2020-12-30,556389
2020-12-31,546617
2021-01-01,546709
2021-01-02,556885
2021-01-03,564171
2021-01-04,603039
2021-01-05,597659
2021-01-06,566882
2021-01-07,561466
2021-01-08,583141
2021-01-09,557940
2021-01-10,520516
2021-01-11,582212
2021-01-12,585060
2021-01-13,614216
2021-01-14,558864
2021-01-15,572649
2021-01-16,549343
2021-01-17,551349
2021-01-18,587712
2021-01-19,586718
2021-01-20,583014
2021-01-21,569803
2021-01-22,603946
2021-01-23,558008
2021-01-24,535247
2021-01-25,574855
2021-01-26,599644
2021-01-27,593336
2021-01-28,570097
2021-01-29,574780
2021-01-30,551939
2021-01-31,521727
2021-02-01,577831
2021-02-02,527085
2021-02-03,585692
2021-02-04,586128
2021-02-05,595004
2021-02-06,548075
2021-02-07,521466
2021-02-08,564629
2021-02-09,563504
2021-02-10,597889
2021-02-11,605794
2021-02-12,607336
2021-02-13,561859
2021-02-14,525882
2021-02-15,569599
2021-02-16,585741
2021-02-17,582139
2021-02-18,587020
2021-02-19,595534
2021-02-20,537648
2021-02-21,541844
2021-02-22,577161
2021-02-23,565041
2021-02-24,575772
2021-02-25,577192
2021-02-26,564424
2021-02-27,540414
2021-02-28,522202
2021-03-01,555002
2021-03-02,566471
2021-03-03,553355
2021-03-04,574236
2021-03-05,589183
2021-03-06,564178
2021-03-07,545512
2021-03-08,585632
2021-03-09,594166
2021-03-10,598245
2021-03-11,593612
2021-03-12,589077
2021-03-13,567264
2021-03-14,540796
2021-03-15,581757
2021-03-16,595405
2021-03-17,577534
2021-03-18,569342
2021-03-19,579546
2021-03-20,541593
2021-03-21,535052
2021-03-22,568165
2021-03-23,567745
2021-03-24,579871
2021-03-25,584053
2021-03-26,563661
2021-03-27,541038
2021-03-28,513593
2021-03-29,578114
2021-03-30,579801
2021-03-31,573267
2021-04-01,576967
2021-04-02,571075
2021-04-03,538266
2021-04-04,536703
2021-04-05,565853
2021-04-06,568119
2021-04-07,603996
2021-04-08,605620
2021-04-09,583734
2021-04-10,558031
2021-04-11,540368
2021-04-12,605175
2021-04-13,596187
2021-04-14,584415
2021-04-15,588217
2021-04-16,559684
2021-04-17,524651
2021-04-18,517742
2021-04-19,574317
2021-04-20,582307
2021-04-21,576307
2021-04-22,568770
2021-04-23,601834
2021-04-24,553007
2021-04-25,555083
2021-04-26,595595
2021-04-27,560321
2021-04-28,578029
2021-04-29,583711
2021-04-30,589727
2021-05-01,573459
2021-05-02,549356
2021-05-03,518052
2021-05-04,543153
2021-05-05,558797
2021-05-06,564171
2021-05-07,562954
2021-05-08,529907
2021-05-09,515732
2021-05-10,555750
2021-05-11,564979
2021-05-12,592587
2021-05-13,595692
2021-05-14,585756
2021-05-15,553297
2021-05-16,550811
2021-05-17,577175
2021-05-18,560655
2021-05-19,592906
2021-05-20,586573
2021-05-21,598475
2021-05-22,572777
2021-05-23,552425
2021-05-24,613037
2021-05-25,616990
2021-05-26,595495
2021-05-27,606880
2021-05-28,614917
2021-05-29,577463
2021-05-30,565136
2021-05-31,567995
2021-06-01,596405
2021-06-02,599820
2021-06-03,595267
2021-06-04,620280
2021-06-05,582855
2021-06-06,557983
2021-06-07,596773
2021-06-08,593050
2021-06-09,600604
2021-06-10,604726
2021-06-11,621701
2021-06-12,595418
2021-06-13,599019
2021-06-14,594256
2021-06-15,602338
2021-06-16,618731
2021-06-17,605188
2021-06-18,601726
2021-06-19,617796
2021-06-20,620235
2021-06-21,628199
2021-06-22,590643
2021-06-23,612865
2021-06-24,599817
2021-06-25,614111
2021-06-26,611898
2021-06-27,577371
2021-06-28,613977
2021-06-29,626372
2021-06-30,621304
2021-07-01,636322
2021-07-02,624952
2021-07-03,595659
2021-07-04,602124
2021-07-05,618188
2021-07-06,617661
2021-07-07,606145
2021-07-08,628298
2021-07-09,648472
2021-07-10,590717
2021-07-11,572172
2021-07-12,613213
2021-07-13,606536
2021-07-14,622084
2021-07-15,611177
2021-07-16,622938
2021-07-17,577539
2021-07-18,595373
2021-07-19,654240
2021-07-20,645605
2021-07-21,640864
2021-07-22,635125
2021-07-23,647374
2021-07-24,618279
2021-07-25,583199
2021-07-26,616262
2021-07-27,643104
2021-07-28,635900
2021-07-29,620808
2021-07-30,640370
2021-07-31,593746
2021-08-01,600391
2021-08-02,627286
2021-08-03,621509
2021-08-04,638600
2021-08-05,641652
2021-08-06,655670
2021-08-07,597622
2021-08-08,574171
2021-08-09,616496
2021-08-10,627234
2021-08-11,619476
2021-08-12,633815
2021-08-13,633035
2021-08-14,598539
2021-08-15,610384
2021-08-16,632472
2021-08-17,639637
2021-08-18,621570
2021-08-19,610026
2021-08-20,615461
2021-08-21,587471
2021-08-22,579064
2021-08-23,626379
2021-08-24,633990
2021-08-25,645858
2021-08-26,635231
2021-08-27,640577
2021-08-28,641615
2021-08-29,602793
2021-08-30,634865
2021-08-31,628890
2021-09-01,653965
2021-09-02,621260
2021-09-03,646579
2021-09-04,607083
2021-09-05,603986
2021-09-06,647979
2021-09-07,634202
2021-09-08,601285
2021-09-09,619070
2021-09-10,637540
2021-09-11,611664
2021-09-12,606126
2021-09-13,603032
2021-09-14,619316
2021-09-15,645831
2021-09-16,631048
2021-09-17,657136
2021-09-18,617472
2021-09-19,628425
2021-09-20,627997
2021-09-21,631245
2021-09-22,639438
2021-09-23,636814
2021-09-24,650310
2021-09-25,605485
2021-09-26,603497
2021-09-27,619141
2021-09-28,625176
2021-09-29,631140
2021-09-30,640372
2021-10-01,684376
2021-10-02,635346
2021-10-03,598377
2021-10-04,641596
2021-10-05,619801
2021-10-06,623909
2021-10-07,627452
2021-10-08,651183
2021-10-09,625618
2021-10-10,612757
2021-10-11,657298
2021-10-12,646024
2021-10-13,627752
2021-10-14,623759
2021-10-15,650592
2021-10-16,611828
2021-10-17,597220
2021-10-18,620256
2021-10-19,636942
2021-10-20,629923
2021-10-21,630232
2021-10-22,660184
2021-10-23,625875
2021-10-24,585426
2021-10-25,657405
2021-10-26,632431
2021-10-27,633584
2021-10-28,648514
2021-10-29,614704
2021-10-30,627615
2021-10-31,601990
2021-11-01,618574
2021-11-02,603061
2021-11-03,629871
2021-11-04,608191
2021-11-05,614492
2021-11-06,592492
2021-11-07,594085
2021-11-08,604828
2021-11-09,623887
2021-11-10,615201
2021-11-11,618353
2021-11-12,610873
2021-11-13,590696
2021-11-14,566475
2021-11-15,609842
2021-11-16,631060
2021-11-17,629547
2021-11-18,650055
2021-11-19,660932
2021-11-20,617708
2021-11-21,617312
2021-11-22,629155
2021-11-23,654040
2021-11-24,658028
2021-11-25,638108
2021-11-26,674905
2021-11-27,585239
2021-11-28,562498
2021-11-29,602564
2021-11-30,625318
2021-12-01,632221
2021-12-02,624838
2021-12-03,620471
2021-12-04,617770
2021-12-05,648272
2021-12-06,639510
2021-12-07,621445
2021-12-08,641043
2021-12-09,644603
2021-12-10,640332
2021-12-11,609417
2021-12-12,606620
2021-12-13,662037
2021-12-14,626132
2021-12-15,633321
2021-12-16,619026
2021-12-17,636872
2021-12-18,629684
2021-12-19,616376
2021-12-20,591969
2021-12-21,647592
2021-12-22,593971
2021-12-23,626362
2021-12-24,590285
2021-12-25,559303
2021-12-26,570476
2021-12-27,577906
2021-12-28,587221
2021-12-29,615092
2021-12-30,581418
2021-12-31,590367
2022-01-01,558927
2022-01-02,586387
2022-01-03,564580
2022-01-04,626701
2022-01-05,631293
2022-01-06,619199
2022-01-07,590738
2022-01-08,579711
2022-01-09,560295
2022-01-10,611221
2022-01-11,611681
2022-01-12,650855
2022-01-13,658522
2022-01-14,636706
2022-01-15,582540
2022-01-16,578155
2022-01-17,587768
2022-01-18,598428
2022-01-19,601129
2022-01-20,608832
2022-01-21,619945
2022-01-22,596685
2022-01-23,580060
2022-01-24,624266
2022-01-25,661959
2022-01-26,651859
2022-01-27,642481
2022-01-28,654825
2022-01-29,627893
2022-01-30,630861
2022-01-31,668472
2022-02-01,655857
2022-02-02,652002
2022-02-03,644300
2022-02-04,649936
2022-02-05,594969
2022-02-06,580527
2022-02-07,660751
2022-02-08,624542
2022-02-09,605287
2022-02-10,628271
2022-02-11,634767
2022-02-12,607803
2022-02-13,592457
2022-02-14,610817
2022-02-15,583697
2022-02-16,609392
2022-02-17,625754
2022-02-18,601383
2022-02-19,572337
2022-02-20,581009
2022-02-21,612280
2022-02-22,614046
2022-02-23,624109
2022-02-24,621255
2022-02-25,634171
2022-02-26,623528
2022-02-27,607591
2022-02-28,629189
2022-03-01,618909
2022-03-02,590462
2022-03-03,637113
2022-03-04,645723
2022-03-05,627343
2022-03-06,608309
2022-03-07,632302
2022-03-08,625875
2022-03-09,622895
2022-03-10,630216
2022-03-11,665945
2022-03-12,625799
2022-03-13,583177
2022-03-14,598864
2022-03-15,629772
2022-03-16,617037
2022-03-17,613717
2022-03-18,612391
2022-03-19,575232
2022-03-20,586417
2022-03-21,614166
2022-03-22,625267
2022-03-23,613393
2022-03-24,651710
2022-03-25,656341
2022-03-26,639307
2022-03-27,639504
2022-03-28,638215
2022-03-29,603888
2022-03-30,636141
2022-03-31,653767
2022-04-01,638266
2022-04-02,637701
2022-04-03,609241
2022-04-04,642072
2022-04-05,603754
2022-04-06,611102
2022-04-07,653251
2022-04-08,648740
2022-04-09,639262
2022-04-10,605635
2022-04-11,619489
2022-04-12,602032
2022-04-13,637994
2022-04-14,650912
2022-04-15,606478
2022-04-16,629531
2022-04-17,643091
2022-04-18,591760
2022-04-19,644334
2022-04-20,651035
2022-04-21,648009
2022-04-22,709529
2022-04-23,629428
2022-04-24,618361
2022-04-25,651051
2022-04-26,652013
2022-04-27,663492
2022-04-28,655819
2022-04-29,671070
2022-04-30,568711
2022-05-01,566820
2022-05-02,613192
2022-05-03,675277
2022-05-04,659960
2022-05-05,640327
2022-05-06,648703
2022-05-07,615259
2022-05-08,581199
2022-05-09,609357
2022-05-10,638327
2022-05-11,648436
2022-05-12,653624
2022-05-13,619480
2022-05-14,597549
2022-05-15,645874
2022-05-16,638299
2022-05-17,639152
2022-05-18,672263
2022-05-19,669830
2022-05-20,656723
2022-05-21,645845
2022-05-22,644872
2022-05-23,658400
2022-05-24,673793
2022-05-25,694461
2022-05-26,674982
2022-05-27,701423
2022-05-28,661506
2022-05-29,623153
2022-05-30,656223
2022-05-31,671269
2022-06-01,645989
2022-06-02,629136
2022-06-03,595206
2022-06-04,618692
2022-06-05,575565
2022-06-06,644638
2022-06-07,653717
2022-06-08,691983
2022-06-09,675475
2022-06-10,699377
2022-06-11,606488
2022-06-12,622719
2022-06-13,681962
2022-06-14,694986
2022-06-15,675133
2022-06-16,727694
2022-06-17,691723
2022-06-18,645203
2022-06-19,615627
2022-06-20,677201
2022-06-21,700570
2022-06-22,684692
2022-06-23,657760
2022-06-24,673925
2022-06-25,660776
2022-06-26,654904
2022-06-27,665432
2022-06-28,685182
2022-06-29,673279
2022-06-30,649366
2022-07-01,630584
2022-07-02,567876
2022-07-03,594620
2022-07-04,652348
2022-07-05,640427
2022-07-06,618459
2022-07-07,641185
2022-07-08,665360
2022-07-09,586947
2022-07-10,570761
2022-07-11,624180
2022-07-12,645780
2022-07-13,618340
2022-07-14,642100
2022-07-15,650842
2022-07-16,582391
2022-07-17,606459
2022-07-18,614071
2022-07-19,577132
2022-07-20,593518
2022-07-21,613828
2022-07-22,614807
2022-07-23,543187
2022-07-24,536308
2022-07-25,569177
2022-07-26,587722
2022-07-27,635197
2022-07-28,614948
2022-07-29,688890
2022-07-30,587560
2022-07-31,602275
2022-08-01,651441
2022-08-02,612403
2022-08-03,560899
2022-08-04,645660
2022-08-05,627295
2022-08-06,626141
2022-08-07,568387
2022-08-08,626393
2022-08-09,628524
2022-08-10,624033
2022-08-11,610961
2022-08-12,572333
2022-08-13,611810
2022-08-14,621633
2022-08-15,611061
2022-08-16,594732
2022-08-17,575791
2022-08-18,603160
2022-08-19,572848
2022-08-20,553630
2022-08-21,606900
2022-08-22,632279
2022-08-23,618469
2022-08-24,558481
2022-08-25,648135
2022-08-26,711315
2022-08-27,654333
2022-08-28,575412
2022-08-29,668628
2022-08-30,718987
2022-08-31,692150
2022-09-01,753525
2022-09-02,740041
2022-09-03,671883
2022-09-04,654158
2022-09-05,712762
2022-09-06,707644
2022-09-07,674911
2022-09-08,697331
2022-09-09,632225
2022-09-10,607067
2022-09-11,662523
2022-09-12,669624
2022-09-13,674891
2022-09-14,671026
2022-09-15,627184
2022-09-16,692348
2022-09-17,610944
2022-09-18,679167
2022-09-19,632939
2022-09-20,669082
2022-09-21,608786
2022-09-22,612565
2022-09-23,599871
2022-09-24,593503
2022-09-25,649651
2022-09-26,689749
2022-09-27,667879
2022-09-28,673729
2022-09-29,688180
2022-09-30,680575
2022-10-01,706237
2022-10-02,702718
2022-10-03,729644
2022-10-04,690470
2022-10-05,719380
2022-10-06,717138
2022-10-07,761397
2022-10-08,728922
2022-10-09,681742
2022-10-10,805305
2022-10-11,706096
2022-10-12,684479
2022-10-13,713580
2022-10-14,720838
2022-10-15,666033
2022-10-16,633415
2022-10-17,710126
2022-10-18,731405
2022-10-19,671296
2022-10-20,721915
2022-10-21,695055
2022-10-22,685200
2022-10-23,700435
2022-10-24,694147
2022-10-25,711051
2022-10-26,752316
2022-10-27,733781
