geography_code,geography_name,"Asian, Asian British or Asian Welsh","Black, Black British, Black Welsh, Caribbean or African",Mixed or Multiple ethnic groups,White,Other ethnic group
E01010744,Bradford 051E,77.6,1.8,3.0,13.5,4.1
E01010745,Bradford 056A,51.6,3.2,4.3,35.2,5.7
E01010746,Bradford 060A,25.2,1.9,3.3,68.3,1.3
E01010747,Bradford 056B,41.0,1.2,2.7,52.1,3.1
E01010748,Bradford 056C,5.9,6.2,4.7,82.7,0.5
E01010749,Bradford 056D,4.9,2.4,4.6,87.4,0.8
E01010750,Bradford 060B,9.5,0.7,2.0,86.6,1.2
E01010751,Bradford 060C,4.0,0.4,2.5,92.5,0.6
E01010752,Bradford 058A,11.3,1.2,2.1,84.3,1.1
E01010753,Bradford 058B,1.1,0.1,0.8,97.9,0.2
E01010754,Bradford 058C,2.7,0.4,1.7,95.1,0.1
E01010755,Bradford 055B,12.7,2.8,5.1,78.6,0.8
E01010756,Bradford 058D,4.1,0.6,2.9,91.5,0.8
E01010758,Bradford 058E,2.6,0.6,1.5,95.3,0.0
E01010759,Bradford 058F,1.5,0.4,1.6,96.5,0.1
E01010760,Bradford 058G,2.6,0.3,2.1,95.0,0.1
E01010761,Bradford 049G,35.9,2.4,2.7,53.8,5.2
E01010762,Bradford 055C,44.4,1.5,2.5,50.1,1.5
E01010763,Bradford 055D,29.2,1.3,2.7,64.3,2.4
E01010764,Bradford 010C,2.6,0.1,1.5,95.5,0.4
E01010765,Bradford 010D,2.5,1.1,1.4,94.3,0.6
E01010766,Bradford 010E,1.6,0.1,1.1,96.6,0.7
E01010767,Bradford 003A,2.0,0.3,2.1,95.5,0.1
E01010768,Bradford 003B,1.7,0.1,1.3,96.4,0.6
E01010769,Bradford 003C,0.7,0.3,1.3,97.4,0.3
E01010770,Bradford 005A,0.5,0.1,1.2,98.1,0.1
E01010771,Bradford 003D,1.5,0.3,2.1,95.8,0.2
E01010772,Bradford 005B,2.0,0.9,1.3,95.6,0.1
E01010773,Bradford 005C,1.8,0.4,0.7,96.4,0.6
E01010774,Bradford 005D,0.7,0.6,1.6,96.9,0.3
E01010775,Bradford 024D,20.6,1.1,2.9,73.1,2.2
E01010776,Bradford 021A,7.1,2.9,3.5,85.4,1.2
E01010777,Bradford 021B,7.4,1.1,2.6,88.6,0.3
E01010778,Bradford 024E,17.1,2.5,4.5,70.7,5.2
E01010779,Bradford 021C,3.3,0.3,2.3,93.5,0.6
E01010781,Bradford 021D,2.6,1.2,3.0,92.6,0.5
E01010782,Bradford 020B,6.0,2.1,3.3,87.6,1.0
E01010783,Bradford 021E,7.8,0.4,3.2,86.8,1.8
E01010784,Bradford 018C,3.4,0.8,3.9,90.5,1.4
E01010785,Bradford 018D,6.4,1.5,3.0,88.9,0.2
E01010786,Bradford 018E,28.5,0.6,3.8,66.2,0.8
E01010787,Bradford 020C,17.7,1.2,2.4,78.1,0.6
E01010788,Bradford 020D,15.0,0.8,3.7,78.9,1.6
E01010789,Bradford 025A,44.7,1.5,2.4,48.5,3.0
E01010790,Bradford 018F,24.9,0.4,1.4,71.1,2.1
E01010791,Bradford 025B,67.6,0.8,2.5,26.7,2.5
E01010792,Bradford 025C,73.3,1.0,2.2,21.1,2.5
E01010793,Bradford 025D,69.5,0.7,2.3,25.9,1.6
E01010794,Bradford 043A,26.5,1.9,3.0,65.9,2.7
E01010795,Bradford 043B,4.1,1.4,2.8,91.1,0.6
E01010796,Bradford 043C,9.7,1.0,2.9,85.9,0.5
E01010797,Bradford 043D,8.1,1.2,2.2,88.3,0.2
E01010798,Bradford 043E,4.9,0.3,4.7,89.9,0.3
E01010799,Bradford 036C,38.6,2.2,2.8,54.3,2.2
E01010800,Bradford 036D,27.7,5.1,6.9,58.0,2.2
E01010801,Bradford 036E,65.3,1.5,4.1,27.2,1.9
E01010802,Bradford 036F,29.2,3.5,7.3,56.9,3.1
E01010803,Bradford 037A,74.4,2.2,2.5,17.6,3.3
E01010804,Bradford 033A,93.4,0.7,1.0,2.8,2.1
E01010805,Bradford 030D,70.7,1.1,3.4,20.9,3.9
E01010806,Bradford 033B,78.9,2.0,1.5,13.7,3.9
E01010807,Bradford 033C,76.2,3.5,3.1,13.8,3.3
E01010808,Bradford 033D,91.9,0.8,0.9,4.6,1.7
E01010809,Bradford 033E,92.4,1.0,0.7,3.1,2.9
E01010810,Bradford 037B,80.3,1.1,1.6,13.1,3.9
E01010811,Bradford 037C,84.9,1.4,1.5,8.0,4.3
E01010812,Bradford 041B,65.6,5.3,1.3,21.0,6.8
E01010813,Bradford 037D,77.1,1.8,3.8,14.0,3.3
E01010814,Bradford 057A,6.5,1.5,2.8,88.2,0.9
E01010815,Bradford 057B,18.7,4.5,5.1,70.1,1.7
E01010816,Bradford 057C,6.5,3.3,3.4,86.1,0.6
E01010817,Bradford 057D,12.9,5.2,5.1,75.6,1.2
E01010818,Bradford 057E,27.2,1.8,2.9,64.5,3.6
E01010819,Bradford 052B,1.7,5.1,3.5,88.3,1.4
E01010820,Bradford 052C,6.3,10.6,3.1,79.5,0.5
E01010821,Bradford 052D,4.4,5.4,5.0,84.8,0.5
E01010822,Bradford 052E,6.4,3.1,2.7,87.4,0.4
E01010824,Bradford 034C,52.7,3.9,3.7,35.4,4.3
E01010825,Bradford 032C,35.5,2.0,3.2,58.5,0.7
E01010826,Bradford 027D,50.6,1.7,2.8,40.7,4.2
E01010827,Bradford 032D,47.3,2.2,3.0,46.5,1.0
E01010828,Bradford 035A,33.6,2.2,3.1,59.1,2.0
E01010829,Bradford 035B,58.2,2.1,2.5,33.4,3.8
E01010830,Bradford 035C,64.0,4.2,2.8,25.3,3.7
E01010831,Bradford 035D,74.5,2.5,3.3,16.6,3.1
E01010832,Bradford 035E,76.7,1.4,3.9,16.4,1.6
E01010833,Bradford 041C,65.0,5.4,3.1,20.3,6.2
E01010834,Bradford 044A,46.5,14.3,3.3,29.5,6.4
E01010836,Bradford 044C,69.5,8.8,2.3,12.2,7.2
E01010837,Bradford 044D,86.2,1.8,2.2,5.4,4.5
E01010838,Bradford 044E,73.6,8.7,1.1,10.8,5.7
E01010839,Bradford 044F,68.6,3.1,2.9,20.4,4.9
E01010840,Bradford 034D,82.9,4.2,2.0,9.3,1.6
E01010841,Bradford 034E,86.1,1.8,1.3,9.6,1.1
E01010842,Bradford 065A,79.5,4.8,3.3,9.6,2.8
E01010843,Bradford 041D,94.0,0.7,0.8,2.2,2.3
E01010845,Bradford 059B,8.2,4.7,6.1,80.4,0.8
E01010846,Bradford 055E,17.5,3.1,4.2,74.4,0.8
E01010847,Bradford 054A,23.9,0.5,3.2,71.3,1.0
E01010848,Bradford 054B,26.5,0.9,4.1,67.9,0.6
E01010849,Bradford 059C,9.0,0.1,1.5,88.8,0.5
E01010850,Bradford 059D,4.8,0.6,3.7,90.6,0.2
E01010851,Bradford 059E,9.4,1.3,3.3,85.2,0.8
E01010852,Bradford 054C,53.8,2.2,2.3,40.2,1.5
E01010853,Bradford 054D,41.5,2.5,3.6,50.5,1.9
E01010854,Bradford 023A,1.6,0.3,1.2,96.8,0.2
E01010855,Bradford 023B,0.4,0.3,1.6,97.5,0.2
E01010856,Bradford 023C,0.7,0.3,1.9,96.9,0.3
E01010857,Bradford 023D,0.3,0.4,0.6,98.4,0.2
E01010858,Bradford 023E,0.6,0.6,1.1,97.4,0.3
E01010859,Bradford 012E,3.4,0.1,2.5,93.7,0.2
E01010860,Bradford 014B,1.3,0.3,1.4,96.9,0.1
E01010861,Bradford 023F,0.5,0.2,1.4,97.6,0.3
E01010862,Bradford 014C,0.2,0.2,1.6,97.7,0.2
E01010863,Bradford 014D,1.5,0.4,1.4,96.6,0.1
E01010864,Bradford 059F,4.4,3.5,4.6,86.5,1.1
E01010865,Bradford 060D,2.8,1.3,1.9,93.7,0.3
E01010866,Bradford 060E,5.0,0.8,3.5,90.0,0.8
E01010867,Bradford 059G,6.4,1.7,3.6,87.6,0.7
E01010868,Bradford 061A,3.9,3.4,5.2,87.2,0.3
E01010869,Bradford 061B,3.9,1.1,3.2,90.2,1.7
E01010870,Bradford 061C,1.6,0.5,1.8,96.1,0.1
E01010871,Bradford 061D,6.3,0.8,2.2,90.3,0.4
E01010872,Bradford 061E,2.4,1.8,1.9,93.2,0.6
E01010873,Bradford 061F,3.0,0.6,2.2,93.7,0.6
E01010874,Bradford 059H,3.4,2.7,3.2,89.0,1.7
E01033689,Bradford 020E,9.7,1.1,3.8,84.1,1.2
E01033690,Bradford 065C,33.3,10.2,5.3,41.0,10.2
E01033691,Bradford 065B,52.3,10.1,2.7,28.4,6.6
E01033692,Bradford 064D,35.9,9.5,3.6,46.4,4.6
E01033693,Bradford 064A,70.7,5.5,3.1,15.4,5.3
E01033694,Bradford 020F,5.2,1.2,3.0,90.1,0.5
E01033695,Bradford 049H,28.2,1.9,4.5,63.0,2.4
E01033696,Bradford 049I,13.8,2.5,3.1,79.7,0.8
E01033697,Bradford 049J,80.9,2.3,2.4,10.4,4.0
E01033898,Bradford 030E,73.7,0.8,2.7,20.9,1.9
E01033899,Bradford 030F,75.0,2.1,3.7,14.4,4.8
E01033900,Bradford 044G,79.9,4.2,2.5,4.7,8.7
E01033901,Bradford 044H,81.7,4.1,5.6,6.3,2.4
E05001341,Baildon,2.3,0.5,1.7,95.1,0.4
E05001342,Bingley,2.9,0.7,1.8,94.2,0.4
E05001343,Bingley Rural,6.1,0.5,2.3,90.5,0.6
E05001344,Bolton and Undercliffe,38.6,1.9,3.7,53.0,2.7
E05001345,Bowling and Barkerend,54.4,3.6,3.6,35.0,3.4
E05001346,Bradford Moor,79.8,2.7,2.2,12.6,2.7
E05001347,City (Bradford),60.2,7.9,3.3,21.6,6.9
E05001348,Clayton and Fairweather Green,39.6,1.9,3.2,53.2,2.0
E05001349,Craven,2.1,0.5,1.1,96.1,0.3
E05001350,Eccleshill,17.9,1.7,3.8,75.5,1.1
E05001351,Great Horton,59.6,2.9,3.3,29.8,4.4
E05001352,Heaton (Bradford),71.9,1.1,2.5,21.7,2.8
E05001353,Idle and Thackley,4.4,0.7,3.0,91.2,0.7
E05001354,Ilkley,1.7,0.4,2.0,95.6,0.3
E05001355,Keighley Central,59.5,0.7,1.5,36.3,2.0
E05001356,Keighley East,20.2,0.6,2.1,76.2,0.9
E05001357,Keighley West,8.9,0.6,2.4,87.4,0.7
E05001358,Little Horton,64.2,5.1,3.3,22.4,4.9
E05001359,Manningham,79.1,3.3,2.2,11.9,3.5
E05001360,Queensbury (Bradford),9.9,1.0,2.5,85.8,0.8
E05001361,Royds,12.1,2.2,3.7,81.1,0.9
E05001362,Shipley,16.5,1.0,3.1,78.2,1.2
E05001363,Thornton and Allerton,27.0,2.0,4.1,65.3,1.6
E05001364,Toller (Bradford),82.7,1.5,2.0,10.6,3.2
E05001365,Tong,11.6,4.4,4.3,78.5,1.2
E05001366,Wharfedale (Bradford),1.4,0.4,1.4,96.5,0.3
E05001367,Wibsey,29.7,2.2,3.6,62.7,1.8
E05001368,Windhill and Wrose,10.5,1.3,3.0,83.5,1.6
E05001369,Worth Valley,0.7,0.3,1.4,97.3,0.2
E05001370,Wyke,5.8,1.3,2.7,89.7,0.6
